標題,連結,發布日期
"羅氏可霸斯8000全自動化整合型生化免疫分析儀 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13882","2015-08-13"
"＂西門子＂ 超音波診斷系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13883","2015-08-13"
"＂瑞士美＂ 呼吸器、“瑞思邁”雙陽壓呼吸輔助系統、“瑞思邁”陽壓呼吸輔助器、“瑞思邁”雙陽壓呼吸輔助系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13890","2015-08-18"
"心臟手術使用之冷熱溫度控制儀-感染鳥分枝桿菌的風險 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13891","2015-08-18"
"“百靈列” 手術導航系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13892","2015-08-18"
"“飛利浦” 磁共振儀 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13893","2015-08-18"
"德賽總膽固醇液體試劑盒等試劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13894","2015-08-18"
"“美敦力”肯力壯神經刺激器、“美敦力”神經刺激器、“美敦力”艾提神經刺激器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13895","2015-08-18"
"「邁柯唯」懸臂系統及附件(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13898","2015-08-18"
"“邁柯唯”麻醉機 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13899","2015-08-18"
"“義獲嘉偉瓦登特”伊美仕瓷粉等回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13900","2015-08-18"
"“霍福特” 正壓呼吸輔助系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13901","2015-08-18"
"“奇異” 臨床資訊整合系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13904","2015-08-20"
"3M精雕瓷牙專用車削塊安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13905","2015-08-20"
"歐瑟義肢及下肢義肢及其組件 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=13906","2015-08-20"
"＂美敦力＂ 延長型動脈導管 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14076","2015-09-17"
"貝克曼庫爾特庫爾特LH系列血球稀釋劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14077","2015-09-17"
"＂泰爾茂＂ 新一代人工心肺灌注系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14078","2015-09-17"
"“卡爾斯特”優倪帝馬達系統及配件 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14126","2015-10-02"
"＂奇異＂ 核磁共振掃描裝置 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14127","2015-10-02"
"“索邏格”心伴第二型左心室輔助系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14128","2015-10-02"
"愛爾康多款智慧型非球面多焦點人工水晶體 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14129","2015-10-02"
"“信迪思”延展式肋骨支撐架 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14130","2015-10-02"
"＂戴思林＂ 禮亞尚 全自動生化分析儀 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=14131","2015-10-02"
"“西門子” 500系列血液氣體檢測分析系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=16199","2015-10-19"
"“康世” 數位X光機 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=16200","2015-10-19"
"“美敦力”顱內導航手術用器械、“美敦力”艾妮薇手術導航系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=16201","2015-10-19"
"“百特”艾融骨替代物、“百特”艾融骨替代物(含骨粉匣及手持推送器) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=16202","2015-10-19"
"“信迪思”手動式骨科手術器械 (滅菌/未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=16203","2015-10-19"
"＂愛爾康＂ 外科顯微鏡及其附件 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=16205","2015-10-19"
"“斯貝司” 生理監視器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17212","2015-10-23"
"“聖猷達”居家監控訊號傳送器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17213","2015-10-23"
"“飛利浦”心血管X光系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17630","2016-01-15"
"雅氏麥凱可調式腦脊髓液分流系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17631","2016-01-15"
"“邁柯唯”冷熱溫度控制儀 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17712","2016-01-21"
"“愛爾康”可舒智慧型妥瑞明非球面散光矯正單片型軟式人工水晶體(可濾部分藍光) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17713","2016-01-21"
"“柯惠”內視鏡自動手術縫合槍及縫合釘 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17714","2016-01-21"
"“飛利浦”中央監視站軟體 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17715","2016-01-21"
"樂母麗避孕器 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17734","2016-01-26"
"“美敦力”因信可心房同步雙心室節律器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17856","2016-02-17"
"“必帝”乙二胺四乙酸真空採血管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17857","2016-02-17"
"“德爾鉻”麻醉工作站及附件 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17858","2016-02-17"
"生物梅里埃易特試梯度條抗生素感受性檢測 - 抗黴菌類 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17859","2016-02-17"
"“邁柯唯”體外循環管路組 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17860","2016-02-17"
"“泰利福”氣管內管探針 (滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17861","2016-02-17"
"“沛綠康”電子體溫計 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17890","2016-02-23"
"“賜妳媚”水袋填充式乳房植入物等安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17920","2016-01-15"
"“美樂得”輸液套 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17925","2016-03-03"
"“德爾鉻”急救型呼吸器及附件 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17926","2016-03-03"
"“曲克”費曼胸膜腔/ 心包積氣引流組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17927","2016-03-03"
"伯瑞 登革熱 非結構性蛋白1 抗原測試條 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17936","2016-03-04"
"“諾瓦德克”內視鏡近紅外線螢光影像系統及其附件 安全警訊 (國內無受影響產品)","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17937","2016-03-04"
"“富士能” 電子式內視鏡 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17941","2016-03-07"
"“斐瑞頌”格萊索電子影像喉頭鏡系統 (滅菌/未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17942","2016-03-07"
"＂愛科來＂葡萄糖檢測試紙、＂愛科來＂多項檢測試紙 I 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=17965","2016-03-10"
"“德爾鉻”加護病房呼吸器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=18017","2016-03-30"
"“信迪思”手動式骨科手術器械 (滅菌/未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=18104","2016-04-14"
"無汞成分助聽器用電池 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=18105","2016-04-14"
"“柏盛”拜美翠弗雷絲藥物釋放冠狀動脈支架系統、“柏盛”拜美翠尼奧弗雷絲藥物釋放冠狀動脈支架系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21605","2016-07-20"
"“捷邁脊椎”手動式骨科手術器械 (未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21606","2016-07-20"
"“給爾福訊”阿薇亞呼吸器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21607","2016-07-20"
"亞培設計師高靈敏度心肌肌鈣蛋白-I檢驗試劑組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21608","2016-07-20"
"“美德凡司”北極日溫控傳遞墊 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21619","2016-07-26"
"BD 自動抹片染色系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21620","2016-07-26"
"“亞諾”主動脈弓氣球導管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21632","2016-07-29"
"維特司3600免疫診斷分析儀(未滅菌)、維特司5600生化免疫分析儀(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21633","2016-07-29"
"“信迪思”手動式骨科手術器械 (滅菌/未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21657","2016-08-08"
"“美艾利爾特斯貝克” A型鏈球菌測試片 (未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21659","2016-08-08"
"“瑞可”非動力式骨科牽引器及配件 (未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21660","2016-08-08"
"“愛爾康”穩復明白內障晶體乳化儀- 液流管理系統耗材包 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21662","2016-08-08"
"3M 牙科用磨光劑(未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21663","2016-08-08"
"“曲克” 託鏗血管攝影導管等8張許可證 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21664","2016-08-08"
"微鐵克2革蘭氏陽性菌藥敏卡抗生素-四環素類 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21678","2016-08-12"
"“阿碩科爾”關節專用氣化棒 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21679","2016-08-12"
"“樂門”雅膚鋁膜傷口敷料(滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21785","2016-09-09"
"“曲克”路德朗優尼格親水性導線 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21813","2016-09-19"
"“德爾鉻” 嬰兒保溫箱 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21814","2016-09-19"
"“邦特”血液迴路管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21874","2016-10-07"
"“壯生”飛絲樂部份可吸收網片 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21875","2016-10-07"
"“飛利浦”心血管X光系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21876","2016-10-07"
"“心衛”心室輔助系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21877","2016-10-07"
"“美敦力”艾提神經刺激器等3張許可證 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21926","2016-10-27"
"“美敦力”延長配件套組等3張許可證 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21927","2016-10-27"
"“聖猷達”弗帝法植入式心律去顫器等8張許可證 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21928","2016-10-27"
"“信迪思”波帝斯人工頸椎椎間盤 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21988","2016-11-04"
"＂巴德＂ 組織取樣針 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21989","2016-11-04"
"“索倫”主動脈弓導管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21990","2016-11-04"
"“美敦力”邁達銳斯微型骨鋸 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=21992","2016-11-04"
"“艾米歐” 勝色人工水晶體眼球 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22102","2016-11-18"
"“美敦力”歐昂移動式 X 光影像系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22104","2016-11-18"
"“法斯樂舒順”雙向輔助導管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22105","2016-11-18"
"“美敦力”艾維拉植入式心臟整流去顫器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22106","2016-11-18"
"“斯貝司” 超維生理監視器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22107","2016-11-18"
"美堅迪爾埃柳鹽酸血清毒性分析組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22108","2016-11-18"
"“泰爾茂”彌薩爾周邊血管支架 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22143","2016-11-25"
"“波士頓科技”羅德瓣膜系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22144","2016-11-25"
"“貝克曼庫爾特“ 庫爾特自動推片染色機(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22145","2016-11-25"
"“索倫”派西弗無縫線主動脈心臟瓣膜 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22146","2016-11-25"
"“美艾利爾因芮修”凝血酶原時間 國際標準比值檢測卡片等2張許可證 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22153","2016-11-29"
"“愛西優“壓力監測套 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22154","2016-11-29"
"“柯惠”威利雷柏電燒產品 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22200","2016-12-07"
"“恩提愛”派普萊栓塞裝置 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22201","2016-12-07"
"“因特”內視鏡手術輔助系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22231","2016-12-14"
"“瑞思邁”亞治妥呼吸器系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22232","2016-12-14"
"“好美得卡 奧斯得寧“ 工具(未滅菌/滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22233","2016-12-14"
"“恩提愛”梅洛森微導管等2張許可證 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22431","2017-01-16"
"“邁柯唯”連續式呼吸器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22432","2017-01-16"
"“瑞德”印鵬全踝系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22508","2017-02-02"
"“聖猷達”居家監控訊號傳送器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22625","2017-02-14"
"有關氣球保持型（balloon retention type）導尿管類醫療器材之常見不良事件及使用建議事項，惠請轉知所屬會員參考，請查照。","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22767","2017-03-03"
"“卡爾費森”輸液系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=22796","2017-03-09"
"免疫特2000胰島素生長因子-I、免疫特胰島素生長因子-I 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10789","2013-02-12"
"“史塔克”速達- VWF抗原免疫比濁法檢測套組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10790","2013-02-12"
"“哈明頓”呼吸器 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10791","2013-02-12"
"“美敦力”歐昂移動式 X 光影像系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10792","2013-02-12"
"羅氏瑞弗聰乾式生化血紅素檢驗試劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10793","2013-02-12"
"＂奇異＂ 數位化移動式X光系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10794","2013-02-12"
"“法斯樂舒順”舒博微導引導管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10795","2013-02-12"
"“路希”支氣管內管及配件 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10822","2015-02-16"
"＂美敦力＂斜形輸液套 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10823","2015-02-16"
"“美敦力”賽凡導航系統、飛巡耳鼻喉科導航系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10824","2015-02-16"
"＂必帝＂ 微生物鑑定組(滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10826","2015-02-16"
"＂信迪思＂手術用氣動電動工具與配件(未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10827","2015-02-16"
"羅氏KRAS基因突變檢驗試劑套組 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10828","2015-02-16"
"＂索尼＂ 醫學影像傳輸裝置 (未滅菌) 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10846","2015-03-05"
"“捷邁”人工髖關節臼杯 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10847","2015-03-05"
"“蔡司”富能醫學圖像紀錄傳輸系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10848","2015-03-05"
"“飛利浦”臨床資訊系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=10849","2015-03-05"
"“康世”牙科X光影像系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11014","2015-03-23"
"基體埃抗血小板第四因子抗體檢測套組 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11015","2015-03-23"
"經內視鏡逆行性膽胰管造影術（ERCP）用十二指腸鏡安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11041","2015-03-30"
"“銳能”散光非球面人工水晶體、“銳能”推注式人工水晶體系統包 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11049","2015-03-31"
"亞培設計師B型肝炎核心抗體第二代檢驗試劑組 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11050","2015-03-31"
"“信迪思”手動式骨科手術器械 (滅菌/未滅菌)－鈦合金彈性髓內釘插入器 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11051","2015-03-31"
"迷你帽(含優碘溶液) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11088","2015-04-08"
"“飛利浦”中央監視器軟體 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11089","2015-04-08"
"“美敦力”艾芬你堤富生氧合處理系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=11090","2015-04-08"
"＂西門子＂ 全身診斷用X光系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12113","2013-02-12"
"＂柯惠＂ ＧＩＡ自動手術縫合器 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12114","2013-02-12"
"＂西美＂ＴＲＩＬＯＧＹ人工全髖臼杯 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12115","2013-02-12"
"＂泰爾茂＂ 新一代人工心肺灌注系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12116","2013-02-12"
"“活力”醫學圖像記錄傳輸系統軟體 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12117","2013-02-12"
"“美敦力”深層腦部刺激導線、“美敦力”深層腦部刺激導線組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12118","2013-02-12"
"＂美敦力＂ 右彎型靜脈導管、＂美敦力＂靜脈套管 回收安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12119","2013-02-12"
"＂奇異＂ 透視X光系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12120","2013-02-12"
"＂德曼遜＂ 總鐵結合量試劑組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12121","2013-02-12"
"貝克曼庫爾特 亞瑟斯免疫分析系統、貝克曼庫爾特協康LXi 725自動生化免疫分析儀、貝克曼庫爾特UniCel DxC 600i 自動生化免疫分析系統 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12122","2013-02-12"
"“西門子”多軸式血管攝影系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12123","2013-02-12"
"戴德艾庭FSL活化部分凝血活酶試劑 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12124","2013-04-14"
"“美敦力”阿切爾超硬導線 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12125","2013-04-14"
"＂給爾福訊＂ 高頻振盪呼吸器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12126","2013-04-14"
"“巫諾”氣管內管 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12127","2013-04-14"
"“客爾”美生伊立自蝕自黏性樹脂黏合劑 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12128","2013-04-14"
"“邁柯唯”連續式呼吸器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12130","2013-04-14"
"“泰爾茂”思倍壯亞普緹亞血液細胞分離機 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12131","2013-04-14"
"“斯貝司”百利焦點麻醉機系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12132","2013-04-14"
"＂赫士睿＂ 寶星輸液暨疼痛處理幫浦 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12133","2013-04-14"
"＂赫士睿＂ 寶星輸液暨疼痛處理幫浦 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12134","2013-04-14"
"＂赫士睿＂ 寶星輸液暨疼痛處理幫浦 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12135","2013-04-14"
"維特司生化產品苯基巴比妥試藥片 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12136","2013-04-14"
"＂馬丁＂心臟血管手術器械(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12137","2013-04-14"
"＂美敦力迷你美＂ 體外胰島素幫浦、＂美敦力＂迷你美波立得胰島素幫浦 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12138","2013-04-14"
"＂羅氏＂可霸斯即時PCR分析儀(未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12139","2013-04-14"
"＂新港＂呼吸器 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12140","2013-04-14"
"＂愛德華＂弗羅威克感應器組 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12141","2013-04-14"
"＂飛利浦＂心臟電擊復甦器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12142","2013-04-14"
"“史塔瑞”億世代滅菌系統、“史塔瑞”滅菌系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12143","2013-04-14"
"＂貝克曼庫爾特＂ 全自動生化分析儀 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12144","2013-04-14"
"“考迪斯” 歐特易可回收血栓過濾網 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12145","2013-04-14"
"“醫科達”醫用帶電粒子放射治療系統軟體 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12146","2013-04-14"
"＂必帝＂注射筒 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12147","2013-04-14"
"“西門子”液態特定蛋白校正品 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12148","2013-04-14"
"＂西門子＂ 超音波診斷系統 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12149","2013-04-14"
"”德曼遜”他克林馬斯弗列克斯 試劑組 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12150","2013-04-14"
"“愛克發” 醫學影像儲存與傳輸系統 回收警訊　","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12152","2013-04-15"
"“信迪思”頭顱骨固定系統、“信迪思”中顏面固定系統、“信迪思”下顎固定系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12153","2013-04-15"
"“曲克”利弗爾周邊血管支架 自願性回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12154","2013-04-15"
"“聖猷達”弗帝法艾斯特植入式心律去顫器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12155","2013-04-15"
"＂崔尼蒂生技＂葡萄糖-6-磷酸去氫酵素品管液 (未滅菌) 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12156","2013-04-15"
"＂西門子＂正子放射/電腦斷層影像系統 回收警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12157","2013-04-15"
"＂萬力＂ 直線加速器 安全警訊","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=4275&id=12158","2013-04-15"
