漢醫師, 超輕薄隱形面膜, 日本獨特技術羽絲絨, 漢方中藥美容配方, 獨特保濕, 亮白肌膚, 一包10片裝	非廠商/陳靜芬		05  6 2015 12:00AM		廣告違規	03 28 2015 12:00AM	網路	露天拍賣網站	輔導結案	
HISTOLAB 植物幹細胞活顏精華	醫麗生技有限公司/		07 20 2015 12:00AM		廣告違規	04 11 2015 12:00AM	網路	http://www.histolab.com.tw	輔導結案	
Antiyears藍銅羽絲面膜(片)	翰可國際股份有限公司/		07 30 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 11 2015 12:00AM	網路	www.lopher.com.tw/	未違規結案	
heme x cherng馬來貘靜止熊貓眼膜3入	艾美麗國際股份有限公司/		04 23 2015 12:00AM		廣告違規	04  7 2015 12:00AM	網路	yahoo	輔導結案	
韓國Lioele~JUICY果凍面膜(1顆入5ml)凍膜	豐晨貿易股份有限公司/許婕穎		09  3 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04  8 2015 12:00AM	網路	yahoo	未違規結案	
樟芝星煥晚霜	湧酉國際股份有限公司/		06  8 2015 12:00AM		廣告違規	04 13 2015 12:00AM	網路	http://www.enlife.com.tw/index.php?option=product&lang=cht&task=pageinfo&id=	輔導結案	
EVA綠之華乳霜 OMNI Eva Cream 美容保養品	非廠商/佘明發		12  2 2015 12:00AM		無違規	04 15 2015 12:00AM	網路	21M.TW	未違規結案	
杏仁酸柔煥膚驅黑凍霜	妮傲絲翠股份有限公司/林清川		08  3 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	04 15 2015 12:00AM	網路	NEOASIA妮傲絲翠公司中文網站	輔導結案	
澳洲老牌木瓜霜 滋潤皮膚預防乾燥 對於燒燙傷 蚊蟲叮咬 割傷 痘痘 曬傷 濕疹 尿布疹 發炎 創傷	非廠商/莊家懿		05 22 2015 12:00AM		廣告內容誇大不實廣告內容誇大不實	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
(ByeBye妊娠紋)Magic美肌刻緊實撫紋霜/妊娠紋魔術帶799元起	耐德科技股份有限公司/		06  2 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 26 2015 12:00AM	網路	shopping99線上購物網	未違規結案	
可刷卡(Botanicus菠丹妮~台灣總代理公司貨)~腿部消脂按摩油/195ml(品號41333)(圖片僅供參考,實際外觀及品規依商品介紹為準)	晟盛國際事業有限公司/		06  3 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01 23 2015 12:00AM	網路	露天拍賣	輔導結案	
《3條免運》 澳洲木瓜霜 25g 現貨	非廠商/蕭玉玲		07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	04  7 2015 12:00AM	網路	露天拍賣	未違規結案	
天然羊乳清香茅皂	峰品乳品股份有限公司/		05 11 2015 12:00AM	化粧品衛生管理條例第24條第2項化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	04 14 2015 12:00AM	網路	峰品乳品股份有限公司	未違規結案	
巧晶靈晚霜	金佳美公司/		04 24 2015 12:00AM		無違規	04 14 2015 12:00AM	網路	金佳美公司	未違規結案	
櫻花媛高濃度馬胎盤素精華青春抗齡晚霜	萊科國際股份有限公司/		08  4 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容誇大不實	04 14 2015 12:00AM	網路	skinwhite.com.tw	未違規結案	
詩丹雅蘭3D無瑕美肌修護精華	嘉義魚市場/		05 11 2015 12:00AM		無違規	04 14 2015 12:00AM	網路	嘉義魚市場	未違規結案	
黃金胎盤抗老極效組	台灣雅聞生技股份有限公司/葉美香		08  7 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 14 2015 12:00AM	網路	台灣雅聞生技股份有限公司	未違規結案	
羊胎盤素蜂王乳駐顏滋潤霜	麗基有限公司(六員環有限公司)/		08  3 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04 14 2015 12:00AM	網路	yangoshop	未違規結案	
【全新包裝】澳洲老牌 LUCAS' PAPAW OINTMENT 木瓜霜＊	非廠商/陳書彬		05 19 2015 12:00AM		廣告違規	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
【澳洲必買】 Lucas Papaw Ointment 萬用木瓜霜25g	非廠商/吳宇軒		05 21 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
瞬間亮眼導入精華	美商怡佳股份有限公司台灣分公司/陳國憫		11 27 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 16 2015 12:00AM	網路	DARPHIN官方網站	未違規結案	
眼圈淡化精華液	美商怡佳股份有限公司/陳國憫		11 27 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 16 2015 12:00AM	網路	DARPHIN官方網站	未違規結案	
紅景天-御珍寶	御珍寶國際有限公司/		05 28 2015 12:00AM		廣告內容誇大不實	04 21 2015 12:00AM	網路	御珍寶國際有限公司	輔導結案	
LadyQ極緻膠原胜肽頂級乳霜	悅容萃生物科技有限公司/		05  4 2015 12:00AM		廣告違規	04 16 2015 12:00AM	網路	http://www.web66.com.tw/ch/61/CW1114/N/1114506.html	輔導結案	
澳洲進口 Lucas Papaw Ointment (25g)木瓜霜護唇膏	非廠商/蔡佳芳		05 20 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	04  7 2015 12:00AM	網路	露天拍賣	未違規結案	
膠原蛋白Q彈精華液	幸福家生技股份有限公司/		05  1 2015 12:00AM		無違規	04 18 2015 12:00AM	網路	http://www.stclare.com.tw/product.php?pid_for_show=3424&category_sn=816	未違規結案	
Wrinkle Lotion逆時煥采乳液	安芳美容科技股份有限公司/		11 16 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04 17 2015 12:00AM	網路	http://www.angelfun.com.tw/p4-1.asp?cid=8，	未違規結案	
Wrinkle Toner逆時煥采爽膚水	安芳美容科技股份有限公司/		11 16 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04 17 2015 12:00AM	網路	http://www.angelfun.com.tw/p4-1.asp?cid=8，	未違規結案	
※米拉小舖※ 紐西蘭健康館【現貨】澳洲國民必備聖品 Lucas' Papaw Ointment 木瓜霜 75g	非廠商/林可雯		06  3 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
Lucas Papaw ointment 木瓜霜	非廠商/陳淨瑜		05 12 2015 12:00AM		廣告違規	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
[益力康] 大豆複合酵素	非廠商/吳嘉宏		06 22 2015 12:00AM	食品安全衛生管理法第28條第1項	廣告內容誇大不實	02 25 2015 12:00AM	網路	露天拍賣	未違規結案	
Lucas Papaw Ointment 澳洲帶回 超好用 木瓜霜	非廠商/黃靖惠		06 29 2015 12:00AM		廣告內容宣稱誇大療效	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
代購澳洲Lucas Papaw Ointment 木瓜霜 25g	非廠商/邱思雅		05 15 2015 12:00AM		廣告違規	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
袋鼠國限定~澳洲帶回!!原裝進口Lucas Papaw Ointment 木瓜霜護唇膏 25g只要200免運	非廠商/邱于軒		05 12 2015 12:00AM		廣告違規	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
澳洲 Lucas' PAPAW Ointment 木瓜膏/木瓜霜 25g	非廠商/黃証淋		05 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04  7 2015 12:00AM	網路	露天拍賣	未違規結案	
Fresh Line 史詩謬思護髮素60ml	錦甫實業股份有限公司/李錦福		09  7 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	02 16 2015 12:00AM	網路	Y﹍﹍﹍AHOO奇摩超級商城	未違規結案	
澳洲 Lucas' Papaw Ointment 木瓜霜 25g 200g 護唇膏 修護膏 萬用膏	非廠商/洪千雱		09 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	04  7 2015 12:00AM	網路	露天拍賣	未違規結案	
Freeset snail care sheet 蝸牛精華足膜	大眼娃娃企業社/黃瀚慧		08 27 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 16 2015 12:00AM	網路	YAHOO超級商城	未違規結案	
澳洲 LUCAS' PAPAW OINTMENT 木瓜霜 25g 直購價160元	非廠商/林欣妍		07 10 2015 12:00AM		廣告內容誇大不實	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
【Dr.Douxi 朵璽】XIN NI SUNG 賦活新生卵殼膜	Dr.Douxi天璽生化科技有限公司/		05 20 2015 12:00AM		無違規	04 17 2015 12:00AM	網路	Dr.Douxi朵璽網站	未違規結案	
澳洲木瓜霜 Lucas Papaw cream 75g	非廠商/施奕桂		09 11 2015 12:00AM		廣告內容誇大不實	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
澳洲木瓜霜 Lucas Papaw Ointment 25g	非廠商/邱琡婷		05 25 2015 12:00AM		廣告違規	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
澳洲必買百年品牌 Lucas Papaw Ointment 萬用木瓜霜25g	非廠商/陳竹煊		05 15 2015 12:00AM		廣告違規	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
澳洲必買第一品牌Lucas Papaw盧卡斯木瓜霜25g	非廠商/孫淑樺		05 20 2015 12:00AM		廣告內容誇大不實	04  7 2015 12:00AM	網路	露天拍賣	輔導結案	
超逆齡抗皺修復霜30ml	達爾膚生醫科技股份有限公司/		08  4 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	04 22 2015 12:00AM	網路	達爾膚生醫科技股份有限公司官網	相關案件已處分	
時光精靈手頸青春防曬緊緻霜SPF 15	美商玫琳凱股份有限公司台灣分公司/		06  2 2015 12:00AM		廣告違規	04 23 2015 12:00AM	網路	美商玫琳凱股份有限公司台灣分公司官網	輔導結案	
白金級QB零體味24小時持久體香棒	先風國際企業有限公司/		06  3 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	04 22 2015 12:00AM	網路	YAH00!奇摩購物中心	輔導結案	
蓮花胎盤萃取液	林桂蘭君/		05 21 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	04 14 2015 12:00AM	網路	www.lotushe.com	未違規結案	
澳洲萬用木瓜霜Lucas' Papaw Ointment 25G 75G	非廠商/林健安		07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	04  7 2015 12:00AM	網路	露天拍賣	未違規結案	
澳洲嬰兒屁屁不紅腫武器-木瓜霜乳液	非廠商/柯佳妮		06  3 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大	04  7 2015 12:00AM	網路	露天拍賣	未違規結案	
白金導入精華露	佳德生技有限公司（代表人：余瑞琴）/		05 26 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04 15 2015 12:00AM	網路	http://www.chiatebio.com.tw/indexmain.php?mmenu=1818&sid=2710&cateid=2l	未違規結案	
藍銅胜肽緊緻保溼菁華	艾美生醫有限公司/		05 13 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	04 29 2015 12:00AM	網路	艾美生醫	未違規結案	
BMC藍銅胜肽青春露	藍銅胜肽生技股份有限公司/		06 15 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效廣告違規其刊登或宣播之廣告內容與原核准廣告內容不符	04 29 2015 12:00AM	網路	森森購物網 	未違規結案	
天然草本純手工香皂-護髮中藥	非廠商/王靖沂		05 28 2015 12:00AM		廣告違規	03 28 2015 12:00AM	網路	露天拍賣網站	輔導結案	
天然草本純手工香皂-淡斑中藥	非廠商/王靖沂		05 28 2015 12:00AM		廣告違規	03 28 2015 12:00AM	網路	露天拍賣網站	輔導結案	
複合DNA修復劑 UNIREPAIR T-43	科友實業股份有限公司/		05 26 2015 12:00AM		廣告違規	03 30 2015 12:00AM	網路	Kosfarm corporation科友實業股份有限公司	輔導結案	
【悠健】富勒烯潤澤水凝霜	悠健企業股份有限公司/郭家宏		11  9 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 27 2015 12:00AM	網路	俏美魔購物中心	未違規結案	
逆齡晶透All-in One凍膜	肽湛生物科技股份有限公司/		06  2 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 29 2015 12:00AM	網路	肽湛生物科技股份有限公司	未違規結案	
素柔ZOLE凍齡面膜雙效保護組	永寶國際股份有限公司/		07 30 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	04 29 2015 12:00AM	網路	ZOLE素柔	未違規結案	
Dr*eamei水漾潤顏活膚木漿面膜	友勵科技有限公司/		06  5 2015 12:00AM		廣告內容宣稱誇大療效廣告違規	04 30 2015 12:00AM	網路	友勵科技有限公司	輔導結案	
藍酮胜肽緊緻面膜	非廠商/林漪秋(由此美麗)		06 17 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容誇大不實廣告違規	04 29 2015 12:00AM	網路	由此美麗	未違規結案	
太陽感光指彩釉	亞卡西雅股份有限公司/		08 19 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	04 27 2015 12:00AM	網路	http://www.shopunt.com/tch/FixPage.aspx?&id=612	未違規結案	
紫草紫羅蘭(痘痘肌)	綠橄欖企業有限公司/		07 18 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	04 26 2015 12:00AM	網路	綠橄欖手工皂	輔導結案	
元納康[腳本足浴粉]漢方泡腳粉{女人調理方}5包組	元納康實業有限公司/		08  3 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	04 26 2015 12:00AM	網路	元納康實業有限公司	輔導結案	
類肉毒緊緻修護精華（豪華版）	天綺國際行銷股份有限公司/		08  4 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	04 20 2015 12:00AM	網路	台灣黃頁	未違規結案	
4A+睫毛護理組	美佳娜興業有限公司/		07 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 21 2015 12:00AM	網路	台灣黃頁	未違規結案	
德美凱脆紅修復霜	華拓藥品有限公司/		09 25 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 25 2015 12:00AM	網路	Taiwancosm台灣雷射藥妝館	未違規結案	
活力海洋100%死海黑泥	傳羚國際貿易有限公司/		05 28 2015 12:00AM	化粧品衛生管理條例第24條第2項化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	05  1 2015 12:00AM	網路	傳羚國際貿易有限公司	未違規結案	
減紅舒敏精華液	傳羚國際貿易有限公司/		05 27 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符傳播業者刊登或宣播未經核准之廣告	05  1 2015 12:00AM	網路	傳羚國際貿易有限公司	未違規結案	
★溫蒂小舖★保證正品 朵朵神速大	非廠商/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符刊播未申請核准之廣告	01  5 2015 12:00AM	網路	http://goods.ruten.com.tw/item/show?21445657044888、http://goods.ruten.com.tw/item/show?21407100461376	未違規結案	
★溫蒂小舖★泰國嫩紅素	非廠商/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  5 2015 12:00AM	網路	http://goods.ruten.com.tw/item/show?21445657044888、http://goods.ruten.com.tw/item/show?21407100461376	未違規結案	
★溫蒂小舖★正品小金瓶	非廠商/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  5 2015 12:00AM	網路	http://goods.ruten.com.tw/item/show?21445657044888、http://goods.ruten.com.tw/item/show?21407100461376	未違規結案	
★溫蒂小舖★ONE TIME V臉神器	非廠商/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  5 2015 12:00AM	網路	http://goods.ruten.com.tw/item/show?21445657044888、http://goods.ruten.com.tw/item/show?21407100461376	未違規結案	
超級髮膜	肯邦國際股份有限公司/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01 13 2015 12:00AM	網路	http://www.hairhelp.can.com.tw/front/bin/ptdetail.phtml?Part=TT-10JUN01&Category=98583	未違規結案	
鼠尾草蓬鬆髮霧	肯邦國際股份有限公司/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01 13 2015 12:00AM	網路	http://www.hairhelp.can.com.tw/front/bin/ptdetail.phtml?Part=TT-10JUN01&Category=98583	未違規結案	
正韓空運【seatree 熙萃 藝術急速提亮霜 Quick Brightening Cream】	緯展企管顧問有限公司/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	12  8 2014 12:00AM	網路	http://www.pcstore.com.tw/chicolady/M18586781.htm	未違規結案	
De Mon飛針亮白纖維面膜超值組	東森蝶蒙股份有限公司/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	10 31 2014 12:00AM	網路	http://www.etmall.com.tw/Pages/ProductDetail.aspx?StoreID=3&CategoryID=40071&ProductSKU=5279969&PHRef=search_resulePRod_Img_7_pic#	未違規結案	
KAWA白金極緻全效乳霜	肯霖國際股份有限公司/		06 25 2015 12:00AM		廣告違規	04 28 2015 12:00AM	網路	水美媒	輔導結案	
頂級修護蝸牛霜50g	天璽生化科技有限公司/		05 20 2015 12:00AM		無違規	04 29 2015 12:00AM	網路	朵璽	未違規結案	
鳳梨酵素皂(所有膚質)	綠橄欖企業有限公司/		07 18 2015 12:00AM		廣告內容誇大不實	04 29 2015 12:00AM	網路	綠橄欖手工皂	輔導結案	
【Dr.Douxi 朵璽】XIN NI SUNG賦活新生卵殼膜100g	貴轄天璽生化科技有限公司/		05 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 29 2015 12:00AM	網路	朵璽	未違規結案	
金盞花(敏感肌)	綠橄欖企業有限公司/		07 18 2015 12:00AM		廣告內容誇大不實	04 29 2015 12:00AM	網路	綠橄欖手工皂	輔導結案	
潤澤奇蹟進化組	綠祚國際有限公司/		03 11 2016 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04 30 2015 12:00AM	網路	天堂花園	未違規結案	
雅諾登 漢方系列 活膚精華調理露 (消炎、抗菌、排毒)	非廠商/胡聆心		05 15 2015 12:00AM		廣告內容宣稱誇大療效	02  5 2015 12:00AM	網路	露天拍賣	相關案件已處分	
眠面膜批發 排毒美白補水祛痘 睡眠面膜	非廠商/曾雅雯		06 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	02  6 2015 12:00AM	網路	露天拍賣	未違規結案	
韓國人氣 SKIN FOOD ❤ 香芹柳橙洗面乳	非廠商/梁恬維		06 23 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	03  5 2015 12:00AM	網路	PC Home商店街	未違規結案	
韓國人氣SKIN FOOD ❤ 香芹柳橙舒緩凝膠	非廠商/梁恬維		06 23 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	03  5 2015 12:00AM	網路	PC Home商店街	未違規結案	
好萊塢女星年輕秘密天然護膚專家-Frownies 額頭眼部去皺紋面膜貼布 144片裝	和航貿易企業有限公司/		06 29 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	02  6 2015 12:00AM	網路	雅虎奇摩拍賣	輔導結案	
河馬膏 提拉緊致塑身瘦身霜150ML	非廠商/徐秀玉		07  2 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱療效	02  4 2015 12:00AM	網路	Yahoo奇摩拍賣	未違規結案	
紐西蘭Wedderspoon 頂級有機麥盧卡活性蜂蜜萬用膏~ 多功能用途，面膜/潔面/局部使用 325g	和航貿易企業有限公司/		06 29 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03  3 2015 12:00AM	網路	YAHOO奇摩拍賣	輔導結案	
YANHEE痘痘細膚霜	非廠商/楊嘉玲		03 11 2016 12:00AM	化粧品衛生管理條例第24條第1項	刊播未申請核准之廣告	01 21 2015 12:00AM	網路	YAHOO奇摩拍賣網站	未違規結案	
泰國ele面膜 預購	非廠商/楊嘉玲		03 11 2016 12:00AM		刊播未申請核准之廣告	01 21 2015 12:00AM	網路	YAHOO奇摩拍賣網站	輔導結案	
韓國泰國時尚·娜娜代購－泰國原裝進口、保證正品VOODOO黑蛇毒晚安面膜	非廠商/吳彩瑄		05 22 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	傳播業者刊登或宣播未經核准之廣告	01 21 2015 12:00AM	網路	YAHOO奇摩拍賣網站	未違規結案	
痘肌首選 AY氨基酸苦楝面皰洗面皂	台灣雅聞生技股份有限公司/葉美香		08  7 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	03  5 2015 12:00AM	網路	ARWIN/BIOCHEM 雅聞倍優	未違規結案	
煥顏苦杏仁酸慕絲	佐登妮絲國際股份有限公司/			化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	05  4 2015 12:00AM	網路		未違規結案	
金瑰妃頂級黃金手工皂	金瑰妃有限公司/		05  8 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效廣告內容宣稱誇大療效	03 13 2015 12:00AM	網路	FACEBOOK	未違規結案	
青黛膏 玉衡青黛滋養膏（10罐裝）	廖浩欽/		05 19 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	03 13 2015 12:00AM	網路	露天拍賣	未違規結案	
Must Up 美體美胸_3件優惠組	艾葳國際美麗股份有限公司/		12  4 2015 12:00AM	食品安全衛生管理法第28條第1項	廣告內容宣稱誇大療效	05  8 2015 12:00AM	網路	a.m.z亞瑪勁線上購物	未違規結案	
【限時加贈】韓國CREM ORLAB水麗妍T.E.N.礦物柔嫩撫紋布蕾霜60mL	美合國際實業股份有限公司/葉璇		08  3 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01  9 2015 12:00AM	網路	奇摩超級商城	相關案件已處分	
【限時下殺】韓國CREMORLAB水麗妍72小時保濕絲絨雪花霜60ml	美合國際實業股份有限公司/葉璇		07 31 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01  9 2015 12:00AM	網路	奇摩超級商城	相關案件已處分	
韓國CREMORLAB水麗妍 蜂王漿滋潤面膜 單片	美合國際實業股份有限公司/葉璇		07 31 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01  9 2015 12:00AM	網路	奇摩超級商城	相關案件已處分	
天然青春之露	吉達興事業有限公司/		09  9 2015 12:00AM		廣告違規	02  5 2015 12:00AM	網路	PC Home商店街	輔導結案	
【瞬間冷卻】精萃薄荷涼爽精華液/降溫噴霧 酸痛疲勞舒緩 50ml	采成企業有限公司/		06  4 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	03 13 2015 12:00AM	網路	Pchome Online拍賣網站	未違規結案	
御玻 微生物發酵玻尿酸1%原液	鉅立實業有限公司/		06  4 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告違規	02  5 2015 12:00AM	網路	PC Home商店街	未違規結案	
《任選滿二件免運費》曼秀雷敦 Acnes25 成人痘/生理痘/痘痘藥膏	非廠商/廖清波		06 16 2015 12:00AM		廣告違規	04 28 2015 12:00AM	網路	露天拍賣	輔導結案	
Lucky-ya 蓮花手工冷凝皂	Lucky時尚精品旗艦店/		06 24 2015 12:00AM		廣告違規	02  4 2015 12:00AM	網路	PC Home商店街	輔導結案	
怯斑型牛樟皂 	木本芬多(利河伯工房經貿有限公司)/翁晏潔		12 11 2015 12:00AM	化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	02 26 2015 12:00AM	網路	PC Home商店街	未違規結案	
甘草桑白-淨白手工皂	艾達皂房工作室/游孟慈		07 29 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	02 26 2015 12:00AM	網路	PC Home商店街	未違規結案	
j.f.lazartigue拉贊提 沛絲永遠21活力髮元素	非廠商/蘇良芳		10 16 2015 12:00AM	化粧品衛生管理條例第24條第1項	刊播未申請核准之廣告	02  4 2015 12:00AM	網路	PC Home商店街	未違規結案	
日本 BUTTERFLY 美足膜	非廠商/郭家憲		06 23 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03  5 2015 12:00AM	網路	PC Home商店街	未違規結案	
太陽釉亮保護膠	亞卡西雅股份有限公司/		08 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 12 2015 12:00AM	網路	http://www.shopunt.com/tch/sun-envy-gel-effect-top-coat/P/5065/C/135	未違規結案	
韓國熱賣胸膜 Pure as Fior 豐胸貼	非廠商/郭家憲		06 23 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 10 2015 12:00AM	網路	PC Home商店街	未違規結案	
幸福自信UP-美體美胸呵護組(Must Up 美胸精油)	艾葳國際美麗股份有限公司 /		07 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 12 2015 12:00AM	網路	http://www.amz.tw/prod/Must+Up_%E7%BE%8E%E9%AB%94%E7%BE%8E%E8%83%B8_3%E4%BB%B6%E5%84%AA%E6%83%A0%E7%B5%84/2847	未違規結案	
台灣神皂MOKURO 無患子純天然美容潔膚晶 大神皂(檀香系列)	沃德設計工作室/		07 31 2015 12:00AM		廣告違規	05 12 2015 12:00AM	網路	希旺達時空能量商品	輔導結案	
PreCarin草本芙萃 四季身體乳霜	浩世數位工作室/侯建旭		08  3 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	05 12 2015 12:00AM	網路	yam蕃薯藤購物中心	未違規結案	
雅司肌因煥膚安瓶	喜盈盈國際事業股份有限公司/黃泰郎		10 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	05 11 2015 12:00AM	網路	Bonjour ! 花向東購物網站	未違規結案	
黃金比例天然全效美膚精油	久保雅司國際有限公司/		10 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	05 11 2015 12:00AM	網路	Bonjour ! 花向東購物網站	未違規結案	
極致抗老青春精油原液	久保雅司國際有限公司/		10 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	05 11 2015 12:00AM	網路	Bonjour ! 花向東購物網站	未違規結案	
