年度月份,抽樣衛生局,檢體名稱,抽驗廠商,檢出項目及殘留容許量
"106年7-9月","臺中市","虱目魚","大潤發流通事業股份有限公司臺中分公司","合格"
"106年7-9月","臺中市","臺灣秋刀魚","大買家國光店","合格"
"106年7-9月","臺中市","吳郭魚","臺灣楓康超市股份有限公司忠勇分公司","合格"
"106年7-9月","臺中市","有卵柳葉魚","臺灣楓康超市股份有限公司忠勇分公司","合格"
"106年7-9月","臺中市","海水黑鯛","臺灣楓康超市股份有限公司忠勇分公司","合格"
"106年7-9月","臺中市","柳葉魚","大紅魚貿易有限公司","合格"
"106年7-9月","臺中市","秋刀魚","陳○琴攤","合格"
"106年7-9月","臺中市","白蝦80/100","臺灣家樂福股份有限公司豐原分公司","合格"
"106年7-9月","臺中市","鮮蚵","臺灣家樂福股份有限公司豐原分公司","合格"
"106年7-9月","臺中市","文蛤","愛買豐原店","合格"
"106年7-9月","臺中市","冷凍草蝦","廣和水產食品有限公司","合格"
"106年7-9月","臺中市","冷凍生白蝦","浩展水產有限公司","合格"
"106年7-9月","臺中市","文蛤","全聯實業股份有限公司大甲民生分公司","合格"
"106年7-9月","臺中市","臺灣生態草蝦","全聯實業股份有限公司大甲民生分公司","合格"
"106年7-9月","臺中市","冷凍白蝦","海洋先生","合格"
"106年7-9月","臺中市","熟凍白蛤蠣","海洋先生","合格"
"106年7-9月","臺中市","文蛤","吳○福攤","合格"
"106年7-9月","臺中市","白蝦","大潤發流通事業股份有限公司臺中分公司","合格"
"106年7-9月","臺中市","尼加拉瓜大白蝦","大買家國光店","合格"
"106年7-9月","臺北市","紅魚","臺北漁產運銷股份有限公司","Sulfadiazine 0.09 ppm(不得檢出)"
"106年7-9月","臺中市","草蝦14P","大買家國光店","合格"
"106年7-9月","臺中市","楓康原蚵","臺灣楓康超市股份有限公司忠勇分公司","合格"
"106年7-9月","臺中市","現撈白蝦","臺灣楓康超市股份有限公司忠勇分公司","合格"
"106年7-9月","臺中市","冷凍白蝦","大紅魚貿易有限公司","合格"
"106年7-9月","臺中市","蛤仔","張○琪攤","合格"
"106年7-9月","臺中市","雞蛋","佶利蛋品商行","合格"
"106年7-9月","臺中市","原料雞蛋","育新商行","合格"
"106年7-9月","臺中市","鮮蛋","新德貿食品有限公司","合格"
"106年7-9月","臺中市","原料蛋","金寶蛋品科技有限公司","合格"
"106年7-9月","臺中市","絞肉","隆興肉舖","合格"
"106年7-9月","臺中市","紐約克牛排","鮑皇水產","合格"
"106年7-9月","臺中市","冷藏肉-豬里肌烤肉片(雅)","大買家股份有限公司臺中北屯分公司","合格"
"106年7-9月","臺中市","豬肉片","金喜美公司中清營業所","合格"
"106年7-9月","臺中市","冷藏豬後腱","家樂福崇德店","合格"
"106年7-9月","臺中市","雞胸肉","小米食品有限公司","合格"
"106年7-9月","臺中市","清胸肉","家樂福崇德店","合格"
"106年7-9月","臺中市","雞里肌肉","全聯實業股份有限公司美村綠店","合格"
"106年7-9月","臺中市","冷藏澳洲穀飼牛肋條","全聯實業股份有限公司后里文明分公司","合格"
"106年7-9月","臺中市","豬里肌","臺灣楓康超市股份有限公司大雅鄉分公司","合格"
"106年7-9月","臺中市","澳洲黑牛牛腱心","臺灣楓康超市三民店","合格"
"106年7-9月","屏東縣","紅豬培根肉片","千葉火鍋","合格"
"106年7-9月","花蓮縣","雞胸肉","統冠生鮮超市太昌店","合格"
"106年7-9月","花蓮縣","鴨肉切半","統冠生鮮超市太昌店","合格"
"106年7-9月","屏東縣","牛小排","恆春鎮農會農民購物中心","合格"
"106年7-9月","屏東縣","冷凍去骨豬肉","錸福國際股份有限公司屏東廠","合格"
"106年7-9月","花蓮縣","秋刀魚","光豐農會生鮮超市","合格"
"106年7-9月","桃園市","原料蛋","元山蛋品有限公司","合格"
"106年7-9月","桃園市","豬肉","日月光半導體製造股份有限公司中壢分公司餐廳","合格"
"106年7-9月","桃園市","原料蛋(雞蛋)(白殼)","東杰蛋品有限公司","合格"
"106年7-9月","桃園市","原料蛋(雞蛋)(紅殼)","東杰蛋品有限公司","合格"
"106年7-9月","桃園市","肥豬蝦","臺北諾富特華航桃園機場飯店","合格"
"106年7-9月","桃園市","豬肉","新東陽股份有限公司大園廠","合格"
"106年7-9月","桃園市","吳郭魚(大)","全聯-八德大湳分公司","合格"
"106年7-9月","桃園市","豬瘦絞肉(細)","全聯-八德大湳分公司","合格"
"106年7-9月","桃園市","家福嚴選-五花肉條","家樂福八德店","合格"
"106年7-9月","桃園市","清胸肉(單包)","家樂福八德店","合格"
"106年7-9月","桃園市","三層肉","平鎮聯合福利社","合格"
"106年7-9月","桃園市","吳郭魚(臺灣鯛)","平鎮聯合福利社","合格"
"106年7-9月","桃園市","澳洲放牧牛-牛腱","綠之晨商行","合格"
"106年7-9月","桃園市","二層肉","自由聯盟","合格"
"106年7-9月","桃園市","秋刀魚","自由聯盟","合格"
"106年7-9月","桃園市","金目鱸魚","全聯實業股份有限公司龍潭中正分公司","合格"
"106年7-9月","桃園市","鯛魚腹片","全聯實業股份有限公司龍潭中正分公司","合格"
"106年7-9月","桃園市","雞胸肉去皮","全聯實業股份有限公司龍潭中正分公司","合格"
"106年7-9月","桃園市","雞里肌肉","超秦企業股份有限公司","合格"
"106年7-9月","桃園市","雞去皮清肉","超秦企業股份有限公司","合格"
"106年7-9月","桃園市","臺灣豬肉片","美廉社福州分公司","合格"
"106年7-9月","桃園市","美廉社牛肉火鍋片(原味調理)","美廉社福州分公司","合格"
"106年7-9月","桃園市","(解凍肉)美國進口棒腿","家樂福經國店","合格"
"106年7-9月","新竹市","冷凍澳大利亞牛肉火鍋片","惠康百貨股份有限公司光復分公司","合格"
"106年7-9月","苗栗縣","臺灣鯛魚下巴","凱味香食品行/苗栗縣頭份市中華路512號","合格"
"106年7-9月","苗栗縣","串燒家族-魷魚","凱味香食品行/苗栗縣頭份市中華路512號","合格"
"106年7-9月","新竹市","冷凍豬五花燒烤肉片","全聯實業股份有限公司新竹大庄分公司","合格"
"106年7-9月","南投縣","棒腿","好婆婆專業月子餐","合格"
"106年7-9月","高雄市","香草園A++優質白鮮蛋","全聯公司美術東分公司","合格"
"106年7-9月","苗栗縣","進口去骨腿排","家福股份有限公司苗栗分公司","合格"
"106年7-9月","苗栗縣","雞胸肉","鄰家生鮮超市","合格"
"106年7-9月","苗栗縣","豬後肉絲","鄰家生鮮超市","合格"
"106年7-9月","苗栗縣","大土雞","徐○發攤","合格"
"106年7-9月","高雄市","冷藏鮮雞蛋","美廉社","合格"
"106年7-9月","苗栗縣","中美白蝦","森海產","合格"
"106年7-9月","苗栗縣","秋刀魚","茂源生鮮海產","合格"
"106年7-9月","苗栗縣","小里肌","和鑫肉品行","合格"
"106年7-9月","苗栗縣","鴨蛋","飛羚商行","合格"
"106年7-9月","高雄市","雞蛋","濰克早午餐","合格"
"106年7-9月","高雄市","雪花牛肉","五鮮級平價鍋物","合格"
"106年7-9月","高雄市","豬肝","高雄市美濃區農會附設生鮮超市","合格"
"106年7-9月","高雄市","豬五花肉絲","高雄市美濃區農會附設生鮮超市","合格"
"106年7-9月","高雄市","健安蛋","高雄市美濃區農會附設生鮮超市","合格"
"106年7-9月","臺東縣","豬肉","金昇利有限公司","合格"
"106年7-9月","高雄市","雞蛋","千葉火鍋","合格"
"106年7-9月","苗栗縣","吳郭魚","自由聯盟生鮮超市大湖店","合格"
"106年7-9月","苗栗縣","豬胛心肉塊","全聯實業股份有限公司苗栗縣府分公司","合格"
"106年7-9月","臺東縣","生雞腿","源昌飯店","合格"
"106年7-9月","臺東縣","生蛋","源昌飯店","合格"
"106年7-9月","高雄市","紅雞蛋","全聯實業(股)公司-九如分公司","合格"
"106年7-9月","苗栗縣","蹄膀","江山獸肉店","合格"
"106年7-9月","苗栗縣","雞棒腿切塊","全聯實業股份有限公司苑裡中山分公司","合格"
"106年7-9月","臺中市","烏骨雞","日興雞鴨行","Trimethoprim 0.17 ppm(0.05 ppm)"
"106年7-9月","苗栗縣","豬梅花肉片","全聯實業股份有限公司苑裡中山分公司","合格"
"106年7-9月","南投縣","豬肉","蔡○達肉攤","合格"
"106年7-9月","高雄市","白玉烏骨雞","大伊統百貨股份有限公司超市","合格"
"106年7-9月","高雄市","甲賀土雞蛋","統健實業股份有限公司高雄中華門市","合格"
"106年7-9月","高雄市","蛋","皇家金宸大飯店","合格"
"106年7-9月","高雄市","洗選蛋","千葉火鍋","合格"
"106年7-9月","高雄市","天然養生蛋","愛國生鮮超市","合格"
"106年7-9月","高雄市","極品紅蛋","愛國生鮮超市","合格"
"106年7-9月","高雄市","雞蛋","Magnifique瑪尼扉閤","合格"
"106年7-9月","南投縣","豬肉","馨味香","合格"
"106年7-9月","高雄市","去骨腿排肉切塊","丸龜製麵","合格"
"106年7-9月","高雄市","去骨雞腿肉","太璽鍋鍋樂","合格"
"106年7-9月","高雄市","納豆洗選蛋","國防部福利事業管理處高雄福利分站","合格"
"106年7-9月","南投縣","放山雞","涵碧樓大飯店中餐廳","合格"
"106年7-9月","高雄市","雞蛋","旗津道酒店","合格"
"106年7-9月","高雄市","雞蛋","永豐餘商行","合格"
"106年7-9月","南投縣","豬肉","林○旺","合格"
"106年7-9月","高雄市","里肌肉","家樂福便利購高雄岡山店","合格"
"106年7-9月","高雄市","豬肉","文賢市場新鮮肉舖","合格"
"106年7-9月","高雄市","雞蛋","KCA岡大匯館","合格"
"106年7-9月","高雄市","雞蛋","我家牛排小吃部","合格"
"106年7-9月","高雄市","豬肉","小牧人異國料理餐廳","合格"
"106年7-9月","高雄市","雞蛋","小牧人異國料理餐廳","合格"
"106年7-9月","高雄市","雞蛋","龍德生鮮超市","合格"
"106年7-9月","南投縣","豬肉","津津果菜行","合格"
"106年7-9月","高雄市","雞蛋","永麒月子餐","合格"
"106年7-9月","高雄市","雞蛋","津鼎食品股份有限公司","合格"
"106年7-9月","高雄市","雞蛋","日精蛋品有限公司","合格"
"106年7-9月","臺東縣","雞蛋","全美行","合格"
"106年7-9月","臺東縣","生醃豬肉","全美行","合格"
"106年7-9月","桃園市","里肌肉排","自由聯盟員樹林店","合格"
"106年7-9月","南投縣","清腿","臺灣卜蜂企業股份有限公司","合格"
"106年7-9月","南投縣","全雞","臺灣卜蜂企業股份有限公司","合格"
"106年7-9月","南投縣","清腿","臺灣卜蜂企業股份有限公司","合格"
"106年7-9月","臺東縣","豬肉","順興商店","合格"
"106年7-9月","雲林縣","鴨肉A","台野畜產有限公司","合格"
"106年7-9月","雲林縣","鴨肉B","台野畜產有限公司","合格"
"106年7-9月","宜蘭縣","雞蛋","宗榮蛋店","合格"
"106年7-9月","宜蘭縣","豬里肌烤肉片","家福股份有限公司宜蘭分公司","合格"
"106年7-9月","宜蘭縣","法式里肌豬排","家福股份有限公司宜蘭分公司","合格"
"106年7-9月","宜蘭縣","優選TAIWAN 蜂蜜(HONEY)","養蜂人家有限公司","合格"
"106年7-9月","宜蘭縣","美國冷藏牛肋條","蘭亭食品開發有限公司","合格"
"106年7-9月","宜蘭縣","純龍眼蜜","白雲山莊養蜂場","合格"
"106年7-9月","宜蘭縣","雪花牛肉片","久泰興業(股)公司","合格"
"106年7-9月","宜蘭縣","牛肉片","南館牛羊肉店","合格"
"106年7-9月","宜蘭縣","豬前瘦肉(胛心肉)","喜互惠龍德店","合格"
"106年7-9月","宜蘭縣","鴨蛋","信仁牧場","合格"
"106年7-9月","宜蘭縣","雞蛋","益信蛋行","合格"
"106年7-9月","宜蘭縣","洗選蛋","全聯實業股份有限公司羅東倉前分公司","合格"
"106年7-9月","宜蘭縣","丹麥豬梅花肉切片","明鈺有限公司","合格"
"106年7-9月","宜蘭縣","臺灣豕小排","明鈺有限公司","合格"
"106年7-9月","宜蘭縣","紐西蘭沙朗牛排","明鈺有限公司","合格"
"106年7-9月","宜蘭縣","紐西蘭牛腱","明鈺有限公司","合格"
"106年7-9月","宜蘭縣","豬心","重吉號","合格"
"106年7-9月","臺北市","吳郭魚","臺北漁產運銷股份有限公司","合格"
"106年7-9月","臺北市","馬頭魚","臺北漁產運銷股份有限公司","合格"
"106年7-9月","臺北市","豆仔魚","臺北漁產運銷股份有限公司","合格"
"106年7-9月","臺北市","虱目魚","臺北漁產運銷股份有限公司","合格"
"106年7-9月","臺北市","文昌公","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","仿土母","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","黃金雞","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","白肉雞","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","白肉雞","臺北畜產運銷股份有限公司","合格"
"106年7-9月","臺北市","仿土公","臺北畜產運銷股份有限公司","合格"
"106年7-9月","新北市","肉片","宏遠國際餐飲股份有限公司","合格"
"106年7-9月","新北市","肉片","味味美食有限公司","合格"
"106年7-9月","新北市","豬排骨","深坑黑毛豬肉攤販","合格"
"106年7-9月","桃園市","乙同優質鮮蛋","施家班菜行","合格"
"106年7-9月","新北市","台畜香腸(原味)","愛買板橋南雅店","合格"
"106年7-9月","彰化縣","冷凍去肚刺鯧魚(肉魚)","吉豐冷凍食品行","合格"
"106年7-9月","臺東縣","土雞","成萌食品有限公司","合格"
"106年7-9月","桃園市","雞胸肉去皮","全聯實業股份有限公司桃園國際分公司","合格"
"106年7-9月","新北市","原味香腸","三仁肉鬆店","合格"
"106年7-9月","新北市","湖南臘肉","三仁肉鬆店","合格"
"106年7-9月","嘉義縣","冷凍刺鯧","利盈水產股份有限公司","合格"
"106年7-9月","嘉義市","冷藏肉-豬後腿赤肉塊","大潤發流通事業股份有限公司嘉義分公司","合格"
"106年7-9月","彰化縣","北京鴨-雙鑫16K","上泉豐食品有限公司","合格"
"106年7-9月","新北市","梅花肉塊(冷藏肉)","新北市樹林區農會特產品直銷中心","合格"
"106年7-9月","新北市","台灣桂丁土雞切塊","全聯實業股份有限公司板新分公司","合格"
"106年7-9月","新北市","紅麴香腸","淡水中山公有零售市場","合格"
"106年7-9月","桃園市","肉雞去皮胸肉","巧活鮮物市集","合格"
"106年7-9月","桃園市","國產雞心","遠百企業股份有限公司","合格"
"106年7-9月","桃園市","香草豬梅花肉","JASONS Market Place","合格"
"106年7-9月","新竹市","雞棒腿切塊","全聯新竹關東分公司","合格"
"106年7-9月","宜蘭縣","雞心","喜互惠宜興店","合格"
"106年7-9月","宜蘭縣","太空鴨","老藤冷凍食品商行","合格"
"106年7-9月","新北市","肉絲","寬大食品有限公司","合格"
"106年7-9月","臺北市","白蝦仁","晶華國際酒店股份有限公司","Ciprofloxacin 0.05 ppm(不得檢出)"
"106年7-9月","新北市","滿漢嘟嘟好原味小香腸","家樂福樹林店","合格"
"106年7-9月","新北市","太空鴨","家樂福樹林店","合格"
"106年7-9月","金門縣","雞胸肉","金門區漁會生鮮超市","合格"
"106年7-9月","嘉義市","雞蛋","勤億蛋品科技股份有限公司","合格"
"106年7-9月","桃園市","豬肉","呂○吉","合格"
"106年7-9月","桃園市","豬肉","游○良","合格"
"106年7-9月","桃園市","雞清胸肉","好市多股份有限公司桃園分公司","合格"
"106年7-9月","新北市","去骨雞腿(三連包)","愛買三重店","合格"
"106年7-9月","新北市","解凍肉國產土番鴨","愛買三重店","合格"
"106年7-9月","新北市","櫻桃鴨","三多燒鴨專賣店","合格"
"106年7-9月","苗栗縣","仿土雞","邱家鴨莊","合格"
"106年7-9月","新北市","雞肉","東雞農園","合格"
"106年7-9月","新北市","鵝肉","雲林鵝肉海鮮城","合格"
"106年7-9月","新北市","鴨","金磚","合格"
"106年7-9月","新北市","鵝肉","鵝肉周","合格"
"106年7-9月","新北市","鴨肉","京都脆皮烤鴨","合格"
"106年7-9月","臺北市","文蛤","臺北漁產運銷股份有限公司","合格"
"106年7-9月","臺北市","七星鱸","臺北漁產運銷股份有限公司","合格"
"106年7-9月","澎湖縣","乳香世家高品質純鮮乳","全聯社福利中心澎湖文光分店","合格"
"106年7-9月","嘉義市","冷藏肉-臺灣豬腰內肉","大潤發","合格"
"106年7-9月","嘉義市","培根豬肉片","御鼎鮮","合格"
"106年7-9月","嘉義市","臺灣烏骨雞切塊","好市多","合格"
"106年7-9月","嘉義市","臺灣棒棒腿切塊","好市多","合格"
"106年7-9月","嘉義縣","豬肉","嘉新果菜行","合格"
"106年7-9月","嘉義縣","雞小腿","全聯福利中心","合格"
"106年7-9月","嘉義縣","雞腿排切塊","全聯福利中心","合格"
"106年7-9月","嘉義縣","豬肉捲","三媽臭臭鍋","合格"
"106年7-9月","花蓮縣","雲林土雞胸肉絲","全聯美崙店","合格"
"106年7-9月","花蓮縣","雞肉","林○欽","合格"
"106年7-9月","花蓮縣","五花肉","光豐農會生鮮超市","合格"
"106年7-9月","花蓮縣","小雞腿","瑞穗鄉農會生鮮超市","合格"
"106年7-9月","彰化縣","雞清胸肉","頂好超市","合格"
"106年7-9月","桃園市","臺灣梅山土雞","好市多股份有限公司桃園分公司","合格"
"106年7-9月","新北市","肉雞切塊","惠康百貨股份有限公司","合格"
"106年7-9月","雲林縣","豬肉","聖元食品廠","合格"
"106年7-9月","雲林縣","雞","慶豐冷凍實業有限公司","合格"
"106年7-9月","新竹縣","雞小腿","全聯超市","合格"
"106年7-9月","新竹縣","台億前後腿肉","進吉食品有限公司","合格"
"106年7-9月","新竹縣","華漢後腿肉(思牧)","進吉食品有限公司","合格"
"106年7-9月","臺中市","冷藏肉-雞清胸肉(卜蜂)","大買家股份有限公司臺中北屯分公司","合格"
"106年7-9月","新竹市","午仔魚","大潤發新竹分公司","合格"
"106年7-9月","新竹市","午仔","CITY SUPER超市","合格"
"106年7-9月","新竹市","五花肉塊","媽媽魚北大門市","合格"
"106年7-9月","新竹市","本地土雞骨腿","CITY SUPER超市","合格"
"106年7-9月","新竹市","雞胸肉","旺誠商行","合格"
"106年7-9月","臺南市","里肌肉(單包)","家福股份有限公司臺南開元分公司","合格"
"106年7-9月","連江縣","冷凍雞腿","香帥冷凍食品","合格"
"106年7-9月","連江縣","冷凍豬五花肉","香帥冷凍食品","合格"
"106年7-9月","連江縣","冷凍棒棒腿","鮮集斯","合格"
"106年7-9月","連江縣","霜降豬燒烤片","鮮集斯","合格"
"106年7-9月","南投縣","豬肉","名添商店","合格"
"106年7-9月","南投縣","豬肉","建華肉商","合格"
"106年7-9月","南投縣","雞胸肉","品佳雞肉行","合格"
"106年7-9月","屏東縣","金錢魚","蔡○霖魚攤","合格"
"106年7-9月","嘉義市","冷藏肉-臺灣豬胛心肉塊","大潤發","合格"
"106年7-9月","屏東縣","翅小腿","好媳婦高樹店","合格"
"106年7-9月","澎湖縣","雞胸肉","蔡○攤","合格"
"106年7-9月","澎湖縣","豬肉","東利號","合格"
"106年7-9月","澎湖縣","豬肉","裕財商號","合格"
"106年7-9月","澎湖縣","雞胸肉","永津商號","合格"
"106年7-9月","金門縣","雞胸肉去皮","全聯福利中心慈湖分公司","合格"
"106年7-9月","金門縣","機柳條","金城漁會超市","合格"
"106年7-9月","高雄市","雞蛋","德興蛋行","Flumequine 0.07 ppm(不得檢出)"
"106年7-9月","金門縣","臺灣去骨切腿","樂多大超市","合格"
"106年7-9月","臺北市","鹿野嫩黃幼秀土雞(冷藏)","家福股份有限公司臺北大直分公司","合格"
"106年7-9月","宜蘭縣","骨腿","謝記畜產食品有限公司","合格"
"106年7-9月","宜蘭縣","五花肉","謝記畜產食品有限公司","合格"
"106年7-9月","宜蘭縣","全雞16號母","老藤冷凍食品商行","合格"
"106年7-9月","臺東縣","雞胸肉","豐展生鮮商行","合格"
"106年7-9月","臺東縣","雞肉","吉利商號","合格"
"106年7-9月","臺東縣","豬肉","振利獸肉店","合格"
"106年7-9月","臺東縣","大成土雞切塊","臺東地區農會太平購物中心","合格"
"106年7-9月","基隆市","雞腿排切塊","全聯實業股份有限公司基隆義二分公司","合格"
"106年7-9月","基隆市","修清正五花","旺璟企業有限公司","合格"
"106年7-9月","基隆市","白肉雞","棉花田生機園地股份有限公司基隆信二門市","合格"
"106年7-9月","基隆市","酵素豬","棉花田生機園地股份有限公司基隆信二門市","合格"
"106年7-9月","高雄市","白玉烏骨雞","大立百貨超市","合格"
"106年7-9月","苗栗縣","進口去骨腿排","家福股份有限公司苗栗分公司","合格"
"106年7-9月","苗栗縣","豬肉","徐○珍","合格"
"106年7-9月","臺北市","午仔魚","新光三越百貨股份有限公司臺北天母分公司","合格"
"106年7-9月","臺北市","午仔魚","國際機能食品股份有限公司天母營業所","合格"
"106年7-9月","屏東縣","菲力","維泰食品行","合格"
"106年7-9月","屏東縣","午仔魚","中海鮮批發零售","合格"
"106年7-9月","臺中市","午仔魚","江醫師健康舖子","合格"
"106年7-9月","臺中市","野生午仔魚","全聯實業股份有限公司臺中陝西分公司","合格"
"106年7-9月","臺中市","海午仔魚","裕毛屋企業股份有限公司","合格"
"106年7-9月","嘉義市","沙朗牛排","力大肉品","合格"
"106年7-9月","嘉義市","牛黃瓜條","力大肉品","合格"
"106年7-9月","花蓮縣","午仔魚","圓玉魚行","合格"
"106年7-9月","花蓮縣","牛腱(澳洲)","光豐農會生鮮超市","合格"
"106年7-9月","澎湖縣","我家特牛","我家牛排館","合格"
"106年7-9月","澎湖縣","牛肉","卡門牛排館","合格"
"106年7-9月","新竹縣","澳洲牛肩里肌牛排","全聯超市","合格"
"106年7-9月","臺東縣","午仔魚","蘇○山攤","合格"
"106年7-9月","臺東縣","牛肉絲","美奐聯合超市","合格"
"106年7-9月","臺東縣","牛肋條","成功農會生鮮超市","合格"
"106年7-9月","新竹市","美國沙朗牛排","允升有限公司","合格"
"106年7-9月","桃園市","牛肉","阿一便當","合格"
"106年7-9月","嘉義縣","沙朗心","鈜景食品企業股份有限公司","合格"
"106年7-9月","南投縣","牛肉條","馥麗溫泉大飯店","合格"
"106年7-9月","南投縣","牛肉","紙箱王主題餐廳","合格"
"106年7-9月","雲林縣","冷藏美國牛腱","家樂福股份有限公司虎尾分公司","合格"
"106年7-9月","雲林縣","牛肉","芸彰牧場","合格"
"106年7-9月","雲林縣","產銷履歷午仔魚","大潤發流通事業股份有限公司","合格"
"106年7-9月","宜蘭縣","美國限量骰子牛肋條","明鈺有限公司","合格"
"106年7-9月","宜蘭縣","美國嫩肩巨無霸牛排","家福股份有限公司宜蘭分公司","合格"
"106年7-9月","苗栗縣","和上頭牛肉","良品商行","合格"
"106年7-9月","苗栗縣","午仔魚","胡○峰","合格"
"106年7-9月","臺南市","午仔魚","日信發生鮮有限公司","合格"
"106年7-9月","臺南市","午仔魚","大潤發流通事業股份有限公司","合格"
"106年7-9月","臺南市","午仔魚","黃○美攤","合格"
"106年7-9月","宜蘭縣","冷凍鯰魚","海隆水產有限公司","合格"
"106年7-9月","宜蘭縣","鰻魚","林北烤好","合格"
"106年7-9月","金門縣","牛奶","有限責任金門縣府暨所屬機關學校聯合員工消費合作社","合格"
"106年7-9月","高雄市","冷凍鯰魚片","合陞水產股份有限公司","合格"
"106年7-9月","嘉義縣","光泉富維他牛乳","萊爾富國際股份有限公司","合格"
"106年7-9月","新竹縣","台農全脂鮮乳","自由聯盟超市","合格"
"106年7-9月","臺中市","鰻魚","大江戶町","合格"
"106年7-9月","臺中市","鯰魚排","臺灣家樂福股份有限公司豐原分公司","合格"
"106年7-9月","臺中市","乳香世家高品質純鮮乳","惠康百貨股份有限公司大雅分公司","合格"
"106年7-9月","花蓮縣","光泉鮮奶-成分無調整","志康聯合超市-統冠光復店","合格"
"106年7-9月","彰化縣","國農牛乳","彰化百貨彰南店","合格"
"106年7-9月","彰化縣","全脂保久乳","彰化百貨彰南店","合格"
"106年7-9月","彰化縣","鰻魚","藏津鰻","合格"
"106年7-9月","彰化縣","鯰魚排","家福股份有限公司彰化分公司","合格"
"106年7-9月","新北市","午仔魚","嘉一香食品股份有限公司","合格"
"106年7-9月","新北市","午仔魚","歡樂購股份有限公司","合格"
"106年7-9月","新北市","產銷履歷午仔漁","棉花田永安漁鋪子","合格"
"106年7-9月","新北市","鯰魚排","家樂福蘆洲店","合格"
"106年7-9月","新北市","帶皮鯰魚排","陶板屋","合格"
"106年7-9月","新北市","錢鰻","有利海產量販店","合格"
"106年7-9月","新北市","光泉業務專用牛乳","千葉火鍋中原店","合格"
"106年7-9月","基隆市","美國冷凍牛五花燒烤片","遠百企業股份有限公司基隆分公司","合格"
"106年7-9月","基隆市","澳洲冷藏肋眼牛排真空包200g","惠康百貨股份有限公司八斗子二分公司","合格"
"106年7-9月","基隆市","野生午仔魚","全聯實業股份有限公司基隆信義分公司","合格"
"106年7-9月","基隆市","野生午仔魚","全聯實業股份有限公司基隆精一分公司","合格"
"106年7-9月","桃園市","鰻魚","鰻鰻來飲食店","合格"
"106年7-9月","桃園市","澳大綠100%紐西蘭全脂鮮乳","愛買桃園店","合格"
"106年7-9月","臺南市","鰻魚","劉○芳","合格"
"106年7-9月","臺南市","冷凍鯰魚片","立楊水產有限公司","合格"
"106年7-9月","臺南市","林鳳營高品質鮮乳","全聯實業股份有限公司麻豆中正分公司","合格"
"106年7-9月","臺南市","瑞穗低脂鮮乳","全聯實業股份有限公司麻豆中正分公司","合格"
"106年7-9月","臺南市","100%鮮乳","惠康百貨股份有限公司大同分公司","合格"
"106年7-9月","臺北市","火鍋魚片鯰魚","全聯實業股份有限公司士林後港分公司","合格"
"106年7-9月","臺北市","鰻魚","關渡活魚店","合格"
"106年7-9月","臺北市","鰻魚","肥前屋有限公司","合格"
"106年7-9月","屏東縣","鯰魚片","台糖屏東量販店","合格"
"106年7-9月","臺東縣","乳香世家高品質純鮮乳","臺東大潤發","合格"
"106年7-9月","高雄市","冷凍鯰魚片","千葉火鍋左營店","合格"
"106年7-9月","高雄市","鰻魚","竑碩星夜有限公司","合格"
"106年7-9月","苗栗縣","林鳳營低脂鮮乳","千成行","合格"
