分類,標題,內容,附檔連結,發布日期
"化粧品","含藥化粧品比一般化粧品效果更好嗎？","解答： (1)我國所謂的「含藥化粧品」，實際上為含有衛生福利部公告的「化粧品含有醫療或毒劇藥品基準」成分之化粧品，主要針對添加前述基準成分之染髮劑、燙髮劑、止汗制臭劑等產品加強安全性管理，與化粧品的效果無關。 (2)目前含藥化粧品依規定需於進口或上市前辦理查驗登記，取得許可證後始得輸入、製造及販售。 (3)民眾在選購含藥化粧品前，可先上食藥署首頁>業務專區>化粧品>含藥化粧品許可證查詢作業，查詢該含藥化粧品是否已取得許可證，才可安心購買。 相關連結： 西藥、醫療器材、含藥化粧品許可證查詢作業http://ppt.cc/U6AAW","","06 25 2015"
"藥品","八仙樂園粉塵爆，燙傷藥膏量不足，是真的嗎？","解答： 有關八仙粉塵爆事件，食藥署已成立專案小組，協助各醫院採購、調度藥品，目前現階段並無缺藥等相關問題，但因為事件爆發，醫院突然增加大量病患，因此醫院本身可能庫存不足，但透過醫院間調藥即可解決，未來藥廠也會持續製造。若各大醫院無法順利購得燙傷藥膏，食藥署可協助調度藥品，甚至專案進口，民眾切勿恐慌。","","06 29 2015"
"食品","燒燙傷喝椰子水可讓傷口加速復原，是真的嗎？","解答： 有關近日因塵爆事件，Line上謠傳燒燙傷後將新鮮椰子水當水喝就可讓傷口復原快速，也無須接受植皮治療等內容，食藥署澄清此為錯誤訊息，受傷民眾應遵從醫囑，勿信不實謠言，也避免再次轉傳。","","06 29 2015"
"藥品","近日塵爆事件後，在LINE上廣為流傳「○○診所的藥膏具有神奇的療效」，這是真的嗎？","解答： (1)有關近日因塵爆事件，民眾於Line上謠傳「○○診所的藥膏具有神奇的療效」，依《醫療法》之醫療廣告相關規定，非醫療機構不得為醫療廣告；且醫療廣告不得以假借他人名義為宣傳、以公開祖傳秘方或公開答問為宣傳等。本署呼籲切勿聽信藥物具有神奇療效，民眾應落實「用藥安全五不原則」：不聽信別人推薦的藥、不信有神奇療效的藥、不吃別人贈送的藥、不買地攤夜市遊覽車上所販賣的藥、不要推薦藥品給別人。 (2)如有燒燙傷情形，應依循正常醫療管道就醫，遵從醫囑，莫聽信誇大不實的謠言。","","06 30 2015"
"藥品","網路流傳許多傷口敷料及燙傷藥膏的使用心得或取得通路，宣稱療效，可以相信嗎？","解答： (1)近日因塵爆事件後，網路及Line群組流傳許多未經確認的藥品資訊及販售通路，並宣稱該等產品具有治療燒燙傷的功效。 (2)依現行規定，藥物上市前應申請查驗登記審查並取得藥品許可證始得上市。民眾雖基於助人的出發點協助散播此類資訊，然而虛擬通路尚難確認藥品的安全性及有效性。呼籲民眾切莫聽信網路偏方，拒絕轉發不實訊息，尋求專業醫療管道就醫才是正確的作法。","","06 30 2015"
"食品","泰國榴槤浸泡有毒黃色液體，是真的嗎？","解答： (1)本篇為原在香港等地流傳有關泰國榴槤疑似浸泡不明黃色液體，作為殺菌或染劑之網路傳聞，亦引起台灣民眾關注。 (2)食藥署為進一步釐清真相，並秉持科學論證理念，104年7月間於國內賣場購買泰國進口之榴槤，並檢驗果皮上的黃色沉積物，將此外皮不明黃色物質以乙醇溶解洗下，經由液相層析儀搭配可見光檢出器及串聯高解析度軌道式質譜儀(LC-UV/HRMS)分析後，發現內含3種黃色化合物，經確認後證實該3種化合物係屬於天然薑黃抽出物(curcuminoids)的主成分：去二甲氧薑黃素、去甲氧薑黃素及薑黃素。 (3)經我國旋於104年7月洽詢泰國衛生部食品藥物管理局查證，其表示所出口榴槤之廠商需符合良好生產規範(GMP)標準以及良好農業規範(GAP)產地認證標準，部分業者可能將榴槤果浸泡在薑黃粉溶液，以達保護榴槤皮與光澤之效果，惟不影響其品質。 (4)薑黃是一種薑科植物，其根莖所磨成的黃色粉末是咖哩的主要原料之一，也是造成咖哩呈現黃色的來源。食藥署呼籲民眾勿聽信未經證實的謠言，並拒絕轉發相關訊息。","","07 22 2015"
"藥品","浣腸劑真的缺藥嗎？","解答： 目前製造浣腸劑廠商至少3家廠商以上，另統計至104年7月20日廠商日產量達30萬顆以上，每個月可供應量超過600萬顆，比對去年月供應量，並無供應短缺問題，請藥局及民眾切勿驚慌，亦無需囤貨。 為預防並及時處理國內藥品供應短缺疑慮事件，食藥署已建立藥品短缺通報系統，廠商、醫療院所及相關公協學會皆可透過藥品短缺線上通報系統(食品藥物管理署>業務專區>藥品>藥品短缺通報系統)或是以紙本、電郵方式（shortage@fda.gov.tw）進行通報，食藥署於接獲通報訊息後，將儘速進行供應不穩定的原因與替代藥品之評估分析及減緩措施，以保障民眾用藥權益。","","07 23 2015"
"藥品","過期的藥品仍然可以吃，只是藥效減半？","解答： (1) 藥品皆具有一定的保存期限，過期的藥品除了藥效會逐漸下降外，也可能有變質的安全性疑慮。請依藥品建議之保存方式貯放藥品，並定期檢查家中藥品之保存期限，以確保您所服藥品之有效性及安全性。 (2) 過期藥品的處理可分2類： a.一般普通過期藥品之處理方式為交由垃圾車焚燒處理，詳細步驟歡迎參閱本署第487期藥 物食品安全週報。 b.若為抗生素、荷爾蒙激素、細胞毒性之化療藥物等對環境高危害性之藥物，建議拿至居家 附近的醫療院所或藥局，由專業藥事人員協助處理。任何藥物（含藥水）皆勿倒入水槽 或馬桶，若因此流入河川，將有汙染國人飲用水之可能性。 延伸閱讀：第487期藥物食品安全週報http://goo.gl/KKrnRu","","07 29 2015"
"醫療器材","長時間戴著隱形眼鏡盯著電腦螢幕，會引發白內障嗎？","解答： (1)「白內障」是指眼球內的水晶體混濁，而造成白內障的因素非常多，最常見的原因是老化。至於環境因素，如已知眼部曝露於過多紫外線或放射線，而沒有適當的保護，就容易產生白內障。此外目前還未證實電腦螢幕會對眼睛會造成直接傷害。 (2)不過，戴隱形眼鏡看電腦螢幕，確實會增加眼睛的不適，主要是因為當聚精會神盯著螢幕看的時候，眨眼次數會減少，導致淚液快速蒸發，乾眼的症狀變得較為明顯。這時如果戴著隱形眼鏡，會加重因為淚液不足造成的角膜缺氧，引起角膜水腫、破皮等併發症。 (3)為了維護眼睛的健康，如果必須戴隱形眼鏡，應該注意一段時間讓眼睛休息一下，眼睛閉一會兒，看看遠處，如果症狀持續存在，可點隱形眼鏡專用濕潤液或不含防腐劑人工淚液；如果還是不舒服，就該取下隱形眼鏡。 【參考出處：榮總人月刊第二二七期 臺北榮總眼科部一般眼科 林佩玉主治醫師】","","05 13 2015"
"醫療器材","注意！烤肉時不要戴隱形眼鏡？","解答： 目前市面上的隱形眼鏡以高透氧性、舒適性、長時間佩戴等功能為訴求，分為硬性和軟性。硬型以PMMA為主成分，折射率適當、透明、質輕，其熔點約為130–140度；軟型隱形眼鏡則以HEMA為主成分，具有較高的透氧性和親水性，其熔點約為50-70度，從常理來判斷，隱形眼鏡的材質耐熱度比人體皮膚或眼部組織要高，如果溫度都高到會讓隱形眼鏡溶化，那人體的皮膚或眼部組織必然已經先受傷，所以理論上是不會發生的。","","05 13 2015"
"化粧品","想請教有關於sls對人體是否有害？","解答： (1)「Sodium Laureth Sulfate」(聚氧乙烯月桂醚硫酸酯鈉)成分，為一種界面活性劑，常添加於化粧品中(如：洗髮精、洗面乳及沐浴乳)中，藉以洗淨去污。 (2)目前尚無相關資料顯示該成分對人體健康有傷害之虞，並且國際間包含歐盟、美國及日本等國的管理規範，亦未禁止使用於化粧品中，所以提醒大家，正確的洗卸清潔動作很重要，不要被謠言所誤導，選擇適合自己的產品，了解成份的用途與方式，才是擁有保養身體的關鍵。","","05 13 2015"
"食品","有關民眾臉書發表針對食藥署正研擬之「現場調製飲料之茶葉、咖啡原料來源原產地(國)等標示事項草案」，難以正確標示？","解答 (1)該草案僅就咖啡須標示咖啡因含量，且係以紅黃綠標示區分咖啡因含量，各顏色代表一定區間之咖啡因含量(紅色代表咖啡因≧201毫克/杯，黃色代表咖啡因101-200毫克/杯，綠色代表咖啡因≦100毫克/杯)，非以數值方式標示，應不致因原料、沖泡等因素致咖啡因含量變異而無法正確標示。 (2)食藥署 99年起即配合行政院消費者保護處輔導現煮咖啡業者以紅黃綠標示咖啡因含量，相關業者已執行多年。 (3)標示方式可採卡片、菜單註記、標記(標籤)或標示牌(板)等型式擇一為之。該草案後續將依法制作業程序預公告，並將提供評論期。","","05 15 2015"
"食品","反式脂肪酸都會危害健康，是真的嗎？","解答： 反式脂肪的來源有兩種，一種是天然存在，一種是經加工過程產生出來。 (1)天然存在的反式脂肪：牛、羊等反芻動物因為特殊的消化道細菌作用，會把牧草發酵合成部分的反式脂肪酸。有研究指出這些反芻動物來源的反式脂肪中，有一種為共軛亞麻油酸（CLA），並不具健康的負面效應。 (2)加工過程產生反式脂肪：主要來自於經過部份氫化的植物油，其部分氫化過程會改變脂肪的分子結構，其優點為讓油更耐高溫、穩定性增加，並且增加保存期限，但同時也產生增加心血管疾病風險的缺點。","","05 20 2015"
"食品","點心含有反式脂肪酸，是真的嗎？","解答： 日常食物中，下列類型的食物或油脂相對含有較多的反式脂肪酸： (1)油炸食品：炸雞、炸薯條、油豆包、油豆腐、油條、鹹酥雞、甜甜圈等。 (2)酥油、植物酥油、烤酥油、白油、硬化油及利用這類油品製成的派類或酥皮點心食品。 (3)餅餡油、塗抹油、沙拉醬。 (4)烘焙用油製品：小西點、鬆餅、部分烘烤麵包。 (5)洋芋片、經油炸處理的速食麵或糖果類。 (6)奶精、奶精粉。","","05 20 2015"
"食品","只要是油品就含有反式脂肪酸，是真的嗎？","解答： 在選擇奶油及各類食品時，凡成分中有氫化植物油、半氫化植物油、人造奶油、人工奶油、人造植物奶油，或標示有反型脂肪、轉化脂肪等名稱者，才含有反式脂肪，並非所有油品皆含有反式脂肪，民眾可透過食品標示辨識自行選購。另衛福部於103年4月15日公告「包裝食品營養標示應遵行事項」，該規定將於今(104)年7月1日施行(以產製日期為準)。","","05 20 2015"
"食品","減少攝取反式脂肪酸是很困難的，是真的嗎？","解答： (1)少吃油炸類食品，包括多層的、酥脆的糕餅或西點麵包。 (2)喝茶或咖啡選擇加「牛奶」，而不是「奶精」。 (3)選購植物性奶油時選購較軟者，因其含有較少量的反式脂肪酸。 (4)減少攝取含氫化油脂的加工食品：餅乾、薯條、甜甜圈、洋芋片等油炸或烘焙食品，都可能含有反式脂肪酸。","","05 20 2015"
"食品","蛋汁+鹽巴=有毒！是真的嗎？","解答： LINE流傳蛋汁不能先加鹽，否則會產生氯毒！此篇訊息完全是一則錯誤謠言。 (1)目前沒有任何證據顯示蛋加鹽會產生氯，而在烹煮時加鹽，反而能讓蛋的組織快速凝結，縮短烹調時間。事實上，鹽的化學式是氯化鈉，其離子鍵很強，不易被分解，即使被分解也不會產生氯氣，並不具有毒性，因此料理時加鹽，不會出現有害人體的化學反應。 (2)雞蛋並未含有乳酸菌，而是含有豐富的蛋白質及豐富的礦物質，因此在烹煮下會出現綠綠的顏色。主要是因為蛋白中的「硫」與蛋黃中的「鐵」就會產生「硫化鐵」，如同在便利商店買的茶葉蛋，蛋黃外緣會呈現綠色是相同的原因，甚至自己在蒸蛋、煎蛋時也會出現，而硫化鐵並不會威脅身體健康，民眾可安心食用。 參考閱讀： 打蛋汁加鹽有毒？原來是…：http://news.ltn.com.tw/news/focus/paper/881914 蒸蛋加鹽生「氯毒」? 醫師:網路謠言－民視新聞：https://www.youtube.com/watch?v=9nitM5Bd7Gg","","05 20 2015"
"食品","用電鍋蒸煮東西時，一定要用開水？","解答： (1)自來水經殺菌殺毒過程後，須符合環保署「飲用水水質標準」之規定，其中對於餘氯量均有所規範，故所殘留之餘氯量有限。 (2)殘留於水或食物中之氯，易於高溫環境下揮發，食物於蒸煮過程中，水及食物均同時加熱，大部分氯已藉由蒸氣揮散，因此最後殘留於食物上的氯是極為微量的，不致於對人體健康造成危害，但民眾蒸煮食物時，仍需注意用水之衛生品質。","","05 28 2015"
"食品","吃半熟的蛋會致命?","解答： (1)沙門氏桿菌是常存在於禽類身上的病原菌，會經由產蛋過程汙染所產出的蛋。因此生吃或是吃未全熟的蛋，有可能感染沙門氏桿菌，症狀為腹瀉、腹痛、寒顫、發燒、噁心、嘔吐。一般來說，症狀持續2~3天後會痊癒，但嬰幼兒及大於50歲以上的長者，有可能會出現較嚴重的併發症，死亡率為1%以下。 (2)沙門氏桿菌不耐熱，因此民眾只要食用充分加熱煮熟的蛋類及禽肉可避免感染沙門氏桿菌。","","05 28 2015"
"食品","口香糖含阿斯巴甜，會致癌嗎？","解答： 市面上所販售標榜不會引起蛀牙的無糖口香糖，是因為其配方中非添加蔗糖，而使用不被口腔內微生物利用代謝的甜味劑「阿斯巴甜」，該甜味劑是國際間核准的食品添加物，目前相關食用安全性研究報告尚未顯示會影響人體健康。","","05 28 2015"
"食品","「口對口方式喝礦泉水」會造成喉嚨痛，是真的嗎？","解答： 網路謠傳口對口方式喝礦泉水，會引起喉嚨痛，在一般飲用情況下並不會發生。但是為正確飲用礦泉水，有需要分享他人飲用礦泉水時，建議用杯子分裝飲用，以確保衛生，並且開封後儘快飲用完畢。","","06 11 2015"
"食品","「食物中毒喝優酪乳」能解毒，是真的嗎？","解答： 以微生物學的理論來看，優酪乳內的乳酸菌能使腸道環境內的好菌增加，以期抑制其他有害菌的生長，但好菌並不會對已經發生的食物中毒有所助益，而且食物中毒也分成多種類型，病因除細菌外，還有因化學物質、天然毒素等造成的中毒型態，所以發生食物中毒喝優酪乳可解毒的說法並不正確。","","06 11 2015"
"食品","玻璃瓶的醬油沒有防腐劑，塑膠瓶裝的醬油有加防腐劑，是真的嗎？","解答： 醬油產品是否使用防腐劑等添加物，是依據製造者設計配方時決定，如有添加防腐劑，其種類及用量必須符合衛生福利部公告「食品添加物使用範圍及限量暨規格標準」規定；至於玻璃瓶或塑膠瓶裝等包裝材質，並非為是否添加防腐劑之辨別方式，且亦不影響醬油之生產方式，故網路上的說法並不正確。 延伸閱讀： 食品添加物使用範圍及限量暨規格標準http://consumer.fda.gov.tw/Law/FoodAdditivesList.aspx？nodeID=521","","06 11 2015"
"食品","「蜜餞、金針、果糖」含高量二氧化硫，會造成氣喘，是真的嗎？","解答： 為減少加工過程所造成的褐變現象或為延長保存期限，市售蜜餞、乾金針、果糖等零食，業者多會使用二氧化硫、亞硫酸鹽等添加物，依據相關科學研究報告顯示，目前並無一般人長期食用造成安全上的疑慮，但有氣喘病史或症狀者，確實需注意避免食用過量含有該類添加物的食品，可能較易引發氣喘症狀；惟該類添加物並不會造成正常人變成氣喘病人，民眾不用太過擔心。","","06 11 2015"
"食品","台灣45﹪的花生都含有黃麴毒素，是真的嗎？","解答： (1)首先要瞭解黃麴毒素的生成原因為花生若收獲後貯存藏於潮濕高溫環境，就有可能長黴（黃麴菌）而生成黃麴毒素。 (2)國內農民已普遍瞭解此發生原因並加以避免，且衛生福利部對於國內生產或國外進口的相關製品皆嚴格把關，如有發現黃麴毒素問題，均依規定處理(禁止進口、下架、銷毀等)，民眾不用過於擔心。","","06 11 2015"
"食品","「紙盒裝牛奶含有紙盒殺菌用雙氧水」的殘留，是真的嗎","解答： 為使「保久乳」產品得以長期保存，在進行無菌包裝時其紙盒先以雙氧水殺菌，然後加熱使雙氧水逸散，最後裝入已加熱殺菌的牛奶，因此牛奶中已無殘存的雙氧水。另外，市售「鮮奶」產品（冷藏，保存期限短）所用之新鮮屋紙盒，其包裝鮮奶前並未經雙氧水殺菌。","","06 11 2015"
"食品","蔬果殘留農藥，用水洗不掉，用精鹽可去除，是真的嗎？","解答： 農作物採收後，都要經過一連串的食前處理，才會食用。這些處理包括清洗、去皮、烹煮，或是食品加工。它們對於減少農作物中的農藥殘留都有很大的幫助。只要按照下面的4步驟處理蔬果，就能大幅減低農藥殘留的危險，達到吃得安全、吃得健康。 (1)去皮：包括穀物去殼、果實剝皮、蔬菜撥除外葉等。因為農藥大部份都殘留在表面上，去皮可以去除表面殘留的農藥，是去毒的第一步。 (2)水洗：在水龍頭下利用水的衝力就能沖掉部份的農藥，對表面光滑、蠟質少的蔬果特別有效。番茄和小黃瓜等有皮的蔬果，還可以用軟毛刷清洗。千萬別以為加入清潔劑能洗得更乾淨。清潔劑裡面通常含有漂白作用的螢光劑或其它化學品，如果沒有把清潔劑沖乾淨反增加危害。 (3)烹煮： 1.加熱分解，農藥經過加熱烹煮大多數都會被分解而減少毒性。 2.將殘留在蔬果內的農藥溶入水中 3.經過加熱，會隨著水蒸氣蒸發掉。所以炒青菜的秘訣：大火快炒、不加蓋，是減少農藥殘留的好方法。 (4)食品加工包括清洗、去皮、去菁、殺菌、蒸餾、醃漬或脫水乾燥等。每一個步驟都會去除部份的農藥殘留。只要是製作良好的蔬果罐頭，皆可安心食用。 綜結上述：加鹽清洗蔬菜以去除農藥並不是正確方法，在此建議您「選購當令果菜」，使用農藥栽種的比例也會降低。若選購非當令蔬果，會因為在不適合生長的季節，需要使用較多的農藥保護以確保農產品順利採收，所以建議民眾還是選購當令的蔬果較好喔！ 相關連結http://ppt.cc/eZ6HO。","","06 11 2015"
"食品","泡麵保麗龍碗會釋出怪物質，是真的嗎？","解答： 保麗龍（polystyrene）材質並不適用於盛裝高溫（尤其100℃以上）之食物，在衛生福利部公告的「食品容器、器具、包裝衛生標準」中已有所規範。故建議民眾應依各種材質之包裝容器規定選擇使用。 延伸閱讀： 食品容器、器具、包裝衛生標準http://www.fda.gov.tw/TC/site.aspx？sid=3462","","06 11 2015"
"食品","胡椒最容易生長細菌，是真的嗎？","解答： 胡椒一般正常儲存的方式是將乾燥的胡椒存放於瓶中密封，使用時適量倒出，以此種方式，並不易滋生細菌；但如有泡水過夜的情況，則自然會有微生物滋生，因此以乾燥方式保存胡椒是非常重要的。","","06 11 2015"
"食品","茶包標籤勿泡茶水，以免標籤上的色素溶入茶中，是真的嗎？","解答： 正確使用茶包的方式應將標籤留在茶杯外，以方便沖泡後取出茶包。為了避免不必要的風險，泡茶時應注意不要將標籤一起放進茶水中。","","06 11 2015"
"食品","可樂+味精=FM2？","解答： (1)經臺北榮民總醫院毒藥物諮詢中心查詢相關文獻，並無發現任何有關同時食用可樂與味精等食物會形成興奮劑之醫學報告。 (2)混合可樂與味精、可樂與蘋果西打、保力達P與蘋果西打、可樂與啤酒等飲料，並不會產生興奮劑成分，更不可能產生鎮靜安眠劑FM2。","","06 11 2015"
"食品","可樂+烤肉=骨癌？","解答： 目前並無相關之科學資料顯示烤肉時搭配可樂會有導致骨癌的危險，民眾切勿聽信不實傳聞，惟烤肉時仍須注意食材是否烤焦，避免食用焦化部分，以確保飲食衛生及身體健康。","","06 11 2015"
"食品","傳聞市售「鮮奶」部分含有磺胺劑，是真的嗎？","解答： (1)有關酪農使用磺胺劑等抗生素均需依照行政院農業委員會之相關規定。一般情形下，自乳牛擠出的生乳原料，均需符合規定才可加工成為乳製品。 (2)磺胺劑並非禁藥，酪農通常使用於治療乳牛之乳房炎，亦必須遵照用藥規定使用。依據「動物用藥殘留標準」規定，牛乳中磺胺劑的殘留容許量為0.1 ppm。各乳品工廠於收購生乳時，均應依此規定，嚴格檢驗監控，以維護廠牌信譽及消費者權益。","","06 11 2015"
"食品","食物中添加了人工甘味-阿斯巴甜有致癌的可能，是真的嗎？","解答： (1)阿斯巴甜人工甜味劑為國際間准用的食品添加物，依據研究報告顯示，目前尚無影響人體安全報告。惟如有遺傳性疾病「苯酮尿症（Phenylketonurics）」患者則需特別注意，因其本身無法代謝苯丙胺酸（人體食入阿斯巴甜之中間代謝產物），因此食藥署為提醒該類病患，已規定添加阿斯巴甜之食品（包括代糖錠劑及粉末），應標示「苯酮尿患者（Phenylketonurics）不宜使用」、「內含苯丙胺酸」或同等意義字樣。 (2)有關食品添加物之使用範圍及其限量標準等資料，可至衛生福利食品藥物管理署網站＼法規資訊＼食品、餐飲及營養類＼食品添加物使用範圍及限量暨規格標準查詢。其中關於「阿斯巴甜」之用量標準，列於第十一之一類「甜味劑」中第十一項：「本品可於各類食品中視實際需要適量使用（限於食品製造或加工必須時使用）」，請參考。 (3)依據國際組織Joint FAO/WHO Expert Committee on Food Additives之評估資料，其每日可接受攝取量（Acceptable Daily Intake）為0-40mg/kgbw（body weight）。因此以60公斤之成人估算，每日攝取阿斯巴甜2.4g以下，尚不致影響健康。 (4)另網路上流傳「SWEET’N LOW」代糖包裝，並無標示任何阿斯巴甜會致癌的字樣，該字樣實際上為表示「糖精」與致癌有關。另查美國國家衛生院之全國毒物研究計畫（National Toxicology Program）在第九版致癌報告中，已正式將糖精從致癌物質名單中除名，且美國之食品法規已取消原警語標示之規定。 延伸閱讀： 食品添加物使用範圍及限量暨規格標準http://consumer.fda.gov.tw/Law/FoodAdditivesList.aspx？nodeID=521","","06 11 2015"
"食品","不可用保鮮膜包著食物，是真的嗎？","解答： (1)目前各國在食品器具包裝的衛生管理上，對有害物質均訂定有限量標準規定，包括塑膠產品之材質試驗項目及溶出試驗項目。消費者應選擇符合衛生標準之產品，並依產品材質特性正確使用。 (2)保鮮膜如使用聚氯乙烯(PVC)或聚偏二氯乙烯(PVDC)材質，衛生福利部已公告該類材質之食品器具、食品容器或包裝產品，應註明使用於高油脂食品及高溫時勿與食品直接接觸或等同意義之警語；因此提醒消費者應避免直接使用該產品與食品接觸。 延伸閱讀： 食品容器、器具、包裝衛生標準http://www.fda.gov.tw/TC/site.aspx？sid=3462","","06 11 2015"
"食品","口香糖的主要成份是牛皮，是真的嗎？","解答： (1)口香糖是由香料、甜味劑、口香膠等所組成，其中「口香膠」是以天然樹脂之人心果樹膠（Chickle Gum）為基材，由於生產量有限，目前口香糖生產業者均利用化學合成的聚乙酸乙烯酯（Polyviny Acetate）或乙酸乙烯樹脂（Viny Acetate Resin），作為替代基材。 (2)目前國內口香糖業者均符合衛生標準之上述替代基材，因此網路傳言之內容與事實並不相符。","","06 11 2015"
"食品","網路Line流傳媒體刊登「輻射食品流向圖」，是真的嗎?","解答： 近日網路Line流傳媒體刊登「輻射食品流向圖」，經查，該流向圖應為媒體去(104)年3月依據本署「104年度日本食品偽標事件」，公布於網站上之資訊製作，該次事件中涉違規之相關產品均已下架、回收並銷毀；所有相關疑似問題產品經行政院原子能委員會進行輻射檢驗，均未檢出。 本署於104年4月15日公告訂定「自日本輸入食品須檢附產地證明文件」及「自日本輸入之特定食品須檢附輻射檢測證明」之強化邊境管控措施，並自104年5月15日起正式施行；實施此雙證措施後，可查證日本輸入食品之產地，非為來自日本禁止輸入之五縣(福島、茨城、栃木、千葉及群馬)。食藥署提醒民眾，對於此類傳言，應抱持小心謹慎的態度，不要隨便輕易相信，也避免再轉傳親友。","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=61537","01 3 2017"
"藥品","聽說施打胰島素會導致洗腎，這是真的嗎？","解答： 聽朋友說，一旦施打胰島素，會傷害腎臟導致洗腎，這是真的嗎？。 (1) 健康者可以藉由胰島素之作用將血糖控制在正常範圍內。糖尿病是一種慢性疾病，因體內胰島素分泌不足或作用不良，引起醣類、蛋白質、脂肪代謝異常。 (2) 在遵醫囑的用藥情形下，糖尿病人施打胰島素是不會傷害腎臟的，而醫師也會視病人的病情適度調整藥品劑量。糖尿病患者會發生腎臟病變的原因，主要是因長期血糖控制不佳而導致，而非注射胰島素造成。 (3) 糖尿病治療必須落實血糖自我監控，養成健康飲食及運動習慣，維持理想體重，並遵照醫囑用藥，規律服藥，不任意增減藥量，也不可輕信偏方，若有任何用藥、病情上的疑問，應詢問醫療專業人員。 參考資料： 中山醫學大學衛教宣導 http://sugarcloud.com.tw/documentation/insulin-do-not-harm-renal-function 關鍵評論網 https://www.thenewslens.com/article/46280 成功大學附屬醫院衛教宣導 http://dr.hosp.ncku.edu.tw/1_6_in.asp?page=13&num=306&dep 臺安醫院衛教宣導 http://www.tahsda.org.tw/newsletters/?p=1724","","01 9 2017"
"化粧品","聽說生理期期間使用染髮劑會致癌，這是真的嗎？","解答： 聽朋友說，生理期期間使用染髮劑染髮，會傷害身體並可能致癌，這是真的嗎？ (1) 染髮劑的成分多種，目前各國研究對於染髮劑成分與致癌風險並未有明確定論，請民眾無須恐慌，若仍有疑慮，食藥署建議生理期或懷孕期間不要染髮，以避免不可預知的風險。 (2) 食藥署提醒，頭皮是毛囊最多、最密集的部位，染髮劑的成分可能透過毛囊進入人體，不當使用染髮劑則可能出現如紅斑、搔癢、水泡、皮膚潰爛等症狀。建議購買染髮劑時要選購有許可證字號及完整標示的染髮產品，使用前要確認頭髮周圍的皮膚及頭皮是否健康，有傷口時千萬不要染髮，看清楚染髮產品標示的使用方法及注意事項，以塗抹方式使用染髮劑(非洗髮搓揉方式)，避免接觸頭皮，並注意染後皮膚狀況，每次染髮都必須間隔三個月以上。 參考資料： 食藥署新聞 http://www.fda.gov.tw/TC/newsContent.aspx?id=21213&chk=51938cb0-6e50-462b-b54d-1f460ed65b14&param=pn&cid=4&cchk=f11420b2-cf8e-4d3a-beb5-66521b800453&key1=%e6%9f%93%e9%ab%ae#.V_yuiVKa2Uk 東森健康雲 http://health.ettoday.net/news/637150 公共電視 http://news.pts.org.tw/article/223446?NEENO=223446","","01 12 2017"
"藥品","有人說胃藥會導致骨骼疏鬆，這是真的嗎？","解答： 有人說胃藥會導致骨骼疏鬆，這是真的嗎？ (1) 骨質疏鬆是指人體骨骼中的鈣質流失，使骨骼變得脆弱，容易因碰撞或摔跌導致受損，甚至斷裂，影響生活，嚴重時可能會引發其他併發症而危及生命。 (2) 造成骨質疏鬆可能的原因有：鈣質攝取不足、抽菸、飲酒過量、咖啡因攝取過量、運動量不足，或是長期服用特定藥物，如：含鋁之胃藥(制酸劑)、類固醇、利尿劑等。食藥署提醒民眾，如需長期服用藥品應經醫師診治及評估，切勿自行增減藥量，並留意藥品的副作用或藥物過敏現象。 (3) 食藥署建議，預防骨質疏鬆症可以從飲食著手，攝取足夠的鈣質，並多曬太陽，刺激身體製造維生素D，促進腸胃吸收鈣質的效率，或是多運動，增加骨質密度，強化骨骼。此外，如需以藥品補充防治或治療，應遵從醫師指示使用，維護自身健康。 參考資料： 長庚紀念醫院衛教宣導https://www1.cgmh.org.tw/intr/intr4/c81100/health_6-1.asp","","01 18 2017"
"藥品","痠痛貼布貼越久越有效，這是真的嗎？","解答： 聽說痠痛貼布貼越久，效果越好，這不是真的。 (1) 痠痛貼布主要成分為冬綠油(含水楊酸鹽)、辣椒素、薄荷或非類固醇消炎止痛藥。痠痛貼布的止痛成分是經由皮膚吸收而產生作用，黏貼時間過長，藥量可能會吸收過多，皮膚在長期密不透氣的情況下也容易產生紅腫癢的狀況。 (2) 食藥署提醒，使用痠痛貼布前請先諮詢醫師或藥師，依照藥品外盒或是說明書標示的用法用量，切勿自行增加使用量及使用時間。且應注意使用的時間不宜超過6小時，皮膚有傷口、濕疹、潰瘍等部位應避免使用貼布；若對藥品易有過敏反應，使用前最好先做小面積皮膚測試，使用後有起疹子、紅腫、發癢等現象應立即停用，持續使用疼痛仍未緩解應就醫。 參考資料： 臺安醫院衛教宣導 http://www.tahsda.org.tw/newsletters/?p=2615 國家網路醫院 http://hospital.kingnet.com.tw/essay/essay.html?pid=29199 台中藥師公會 http://www.tccpa.org.tw/mag/pages/201504/201504-15.html 食藥署藥物食品安全週報第68期 http://www.fda.gov.tw/tc/PublishOtherEpaper.aspx","","01 23 2017"
